OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"Or elles, certes, ye been to daungerous.","Or elles, certes, ye been to daungerous.°",data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 939,,10,10,Or elles certes ye been to daungerous,Or elles certes ye been to daungerous,u Su Su S u S uxS,u Su Su S u S uxS,or@conj elles@adv certes@adv ye@pron%pl_nom ben@v%pr_pl to@adv2 daungerous@adj,or@conj elles@adv certes@adv ye@pron%pl_nom ben@v%pr_pl to@adv2 daungerous@adj,
It is a moral tale vertuous,It is a moral tale vertuous,data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 940,,10,10,It is a moral tale vertuous,It is a moral tale vertuous,u S u Su Su SuS,u S u Su Su SuS,hit@pron ben@v%pr_3 a@indef_art moral@adj tale@n vertuous@adj,hit@pron ben@v%pr_3 a@indef_art moral@adj tale@n vertuous@adj,
Al be it told somtyme in sondry wyse,Al be it° told somtime in sondry wise°,data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 941,,10,10,Al be it told somtyme in sondry wyse,Al be it told somtime in sondry wise,u S u S uSx u Su Sx,u S u S uSx u Su Sx,al@conj ben@v%pr_3 hit@pron tellen@v%ppl som-time@adv in@prep sondri@adj wise@n2,al@conj ben@v%pr_3 hit@pron tellen@v%ppl som-time@adv in@prep sondri@adj wise@n2,
"Of sondry folk, as I shal yow devyse.","Of sondry folk, as I shal yow devise.",data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 942,,10,10,Of sondry folk as I shal yow devyse,Of sondry folk as I shal yow devise,u Su S u S u S uSx,u Su S u S u S uSx,of@prep sondri@adj folk@n as@conj ich@pron%nom shulen@v1%pr_1 you@pron%pl_obj devisen@v%inf,of@prep sondri@adj folk@n as@conj ich@pron%nom shulen@v1%pr_1 you@pron%pl_obj devisen@v%inf,
As thus: ye woot that every Evaungelist,"¶“As thus; ye woot° that every evangelist,°",data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 943,,10,10,As thus ye woot that every Evaungelist,As thus ye woot that every evangelist,u S u S u Sxx uSuS,u S u S u Sxx uSuS,as@conj thus@adv ye@pron%pl_nom witen@v1%pr_pl that@conj everi@pron_gram_adj evangelist@n,as@conj thus@adv ye@pron%pl_nom witen@v1%pr_pl that@conj everi@pron_gram_adj evangelist@n,
That telleth us the peyne of Jhesu Crist,That telleth us the peine of Jesu Crist,data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 944,DIFF,10,10,That telleth us the peyne of Jhesu Crist,That telleth us the peine of Jesu Crist,u Su S u Sx u Su S,u Su S u Sx u Su S,that@pron tellen@v%pr_3 us@pron%pl_obj the@def_art peine@n of@prep jesu@n1#propn crist@n#propn,that@pron tellen@v%pr_3 us@pron%pl_obj the@def_art peine@n of@prep  crist@n#propn,
Ne seith nat alle thyng as his felawe dooth;,Ne saith nat al thing as his felaw dooth,data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 945,,10,10,Ne seith nat alle thyng as his felawe dooth,Ne saith nat al thing as his felaw dooth,u S u Sx u S u Sux S,u S u S u S u Su S,ne@adv seien@v1%pr_3 not@adv al@gram_adj thing@n as@conj his@pron1%gen felaue@n don@v1%pr_3,ne@adv seien@v1%pr_3 not@adv al@gram_adj thing@n as@conj his@pron1%gen felaue@n don@v1%pr_3,
But nathelees hir sentence is al sooth,"But natheles, hir sentence° is al sooth,°",data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 946,,10,10,But nathelees hir sentence is al sooth,But natheles hir sentence is al sooth,u SuS u Sux S u S,u SuS u Sux S u S,but@conj no-the-lesse@adv here@pron%pl_gen sentence@n ben@v%pr_3 al@adv soth@adj,but@conj no-the-lesse@adv here@pron%pl_gen sentence@n ben@v%pr_3 al@adv soth@adj,
And alle acorden as in hire sentence,And alle acorden as in hir sentence,data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 947,,10,10,And alle acorden as in hire sentence,And alle acorden as in hir sentence,u Sx uSu S u Sx uSx,u Sx uSu S u S uSx,and@conj al@gram_adj accorden@v%pr_pl as@conj in@prep here@pron%pl_gen sentence@n,and@conj al@gram_adj accorden@v%pr_pl as@conj in@prep here@pron%pl_gen sentence@n,
Al be ther in hir tellyng difference.,Al be ther in hir telling difference.,data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 948,,10,10,Al be ther in hir tellyng difference,Al be ther in hir telling difference,u S u S u Su SuSx,u S u S u Su SuSx,al@conj ben@v%pr_3 ther@adv in@prep here@pron%pl_gen tellinge@ger difference@n,al@conj ben@v%pr_3 ther@adv in@prep here@pron%pl_gen tellinge@ger difference@n,
"For somme of hem seyn moore, and somme seyn lesse","For somme of hem seyn more, and som lesse",data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 949,DIFF,10,10,For somme of hem seyn moore and somme seyn lesse,For somme of hem seyn more and som lesse,u Sx u S u Sx u Sx u Sx,u Sx u S u Su S u Sx,for@conj som@pron of@prep hem@pron%pl_obj seien@v1%pr_pl more@n3 and@conj som@pron seien@v1%pr_pl lesse@n2,for@conj som@pron of@prep hem@pron%pl_obj seien@v1%pr_pl more@n3 and@conj som@pron lesse@n2,
Whan they his pitous passioun expresse --,Whan they his pitous passioun expresse;,data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 950,,10,10,Whan they his pitous passioun expresse,Whan they his pitous passioun expresse,u S u Su SuS uSx,u S u Su SuS uSx,whan@adv&conj thei@pron%pl_nom his@pron1%gen pitous@adj passioun@n expressen@v%pr_pl --@dash,whan@adv&conj thei@pron%pl_nom his@pron1%gen pitous@adj passioun@n expressen@v%pr_pl --@dash,
"I meene of Mark, Mathew, Luc, and John --","I mene of Mark and Mathew, Luk and John;",data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 951,DIFF,10,10,I meene of Mark Mathew Luc and John,I mene of Mark and Mathew Luk and John,u Su S u Su S u S,u Sx u S u Su S u S,ich@pron%nom menen@v1%pr_1 of@prep mark@n#propn mathew@n#propn luc@n#propn and@conj john@n1#propn --@dash,ich@pron%nom menen@v1%pr_1 of@prep mark@n#propn and@conj mathew@n#propn luc@n#propn and@conj john@n1#propn,
But doutelees hir sentence is al oon.,But doutelees hir sentence is al oon.,data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 952,,10,10,But doutelees hir sentence is al oon,But doutelees hir sentence is al oon,u SuS u Sux S u S,u SuS u Sux S u S,but@conj douteles@adv here@pron%pl_gen sentence@n ben@v%pr_3 al@adv on@num_adj,but@conj douteles@adv here@pron%pl_gen sentence@n ben@v%pr_3 al@adv on@num_adj,
"Therfore, lordynges alle, I yow biseche","Therfore, lordings alle, I yow biseche",data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 953,,10,10,Therfore lordynges alle I yow biseche,Therfore lordings alle I yow biseche,uSx uSu Sx u S uSx,uSu Su Sx u S uSx,ther-fore@adv lordinge@n%pl al@gram_adj ich@pron%nom you@pron%pl_obj bisechen@v%pr_1,ther-fore@adv lordinge@n%pl al@gram_adj ich@pron%nom you@pron%pl_obj bisechen@v%pr_1,
If that yow thynke I varie as in my speche,If that ye thinke I varie as in my speche,data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 954,,0,0,If that yow thynke I varie as in my speche,If that ye thinke I varie as in my speche,         ,         ,if@conj that@part you@pron%pl_obj thinken@v1%pr_3 ich@pron%nom varien@v%pr_1 as@conj in@prep min@pron%gen speche@n,if@conj that@part you@pron%pl_obj thinken@v1%pr_3 ich@pron%nom varien@v%pr_1 as@conj in@prep min@pron%gen speche@n,
"As thus, though that I telle somwhat moore","As thus, thogh that I telle somwhat more",data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 955,,10,10,As thus though that I telle somwhat moore,As thus thogh that I telle somwhat more,u S u S u Su Su Sx,u S u S u Su Su Sx,as@conj thus@adv though@conj that@part ich@pron%nom tellen@v%pr_1 som-what@adj more@n3,as@conj thus@adv though@conj that@part ich@pron%nom tellen@v%pr_1 som-what@adj more@n3,
Of proverbes than ye han herd bifoore,"Of proverbes, than ye han herd bifore",data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 956,,10,10,Of proverbes than ye han herd bifoore,Of proverbes than ye han herd bifore,u SuS u S u S uSx,u SuS u S u S uSx,of@prep proverbe@n%pl than@conj ye@pron%pl_nom haven@v%pr_pl heren@v%ppl biforen@adv,of@prep proverbe@n%pl than@conj ye@pron%pl_nom haven@v%pr_pl heren@v%ppl biforen@adv,
