OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
And whan the mele is sakked and ybounde,And whan the mele is sakked and ybounde,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4070,,10,10,And whan the mele is sakked and ybounde,And whan the mele is sakked and ybounde,u S u Sx u Su S uSx,u S u Sx u Su S uSx,and@conj whan@adv&conj the@def_art mele@n1 ben@v%pr_3 sakken@v%ppl and@conj binden@v%ppl,and@conj whan@adv&conj the@def_art mele@n1 ben@v%pr_3 sakken@v%ppl and@conj binden@v%ppl,green
This John goth out and fynt his hors away,This John goth out and fint° his hors away,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4071,,10,10,This John goth out and fynt his hors away,This John goth out and fint his hors away,u S u S u S u S uS,u S u S u S u S uS,this@gram_adj john@n3#propn gon@v%pr_3 oute@adv and@conj finden@v%pr_3 his@pron1%gen hors@n awei@adv,this@gram_adj john@n3#propn gon@v%pr_3 oute@adv and@conj finden@v%pr_3 his@pron1%gen hors@n awei@adv,green
"And gan to crie """"Harrow!"""" and """"Weylaway!",And gan to crie “Harrow!” and “Weilaway!°,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4072,,10,10,And gan to crie Harrow and Weylaway,And gan to crie Harrow and Weilaway,u S u S uS u SuS,u S u S uS u SuS,and@conj ginnen@v%pt_3 to@part crien@v%inf harou@interj and@conj weilawai@interj,and@conj ginnen@v%pt_3 to@part crien@v%inf harou@interj and@conj weilawai@interj,green
"Oure hors is lorn, Alayn, for Goddes banes","Our hors is lorn!° Alein, for Goddes banes,°",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4073,,10,10,Oure hors is lorn Alayn for Goddes banes,Our hors is lorn Alein for Goddes banes,ux S u S uS u Su Sx,u S u S uS u Su Sx,oure@pron%pl_gen hors@n ben@v%pr_3 lesen@v4%ppl alein@n1#propn for@prep god@n1#propn%gen bon@n1%pl,oure@pron%pl_gen hors@n ben@v%pr_3 lesen@v4%ppl alein@n1#propn for@prep god@n1#propn%gen bon@n1%pl,green
"Step on thy feet! Com of, man, al atanes!","Step on thy feet,° com out, man, al at anes!°",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4074,DIFF,10,10,Step on thy feet Com of man al atanes,Step on thy feet com out man al at anes,u S u S u S u S uSx,u S u S u S u S u Sx,steppen@v%imp on@prep thin@pron%gen fot@n%pl comen@v%imp  man@n al@adv at@prep ,steppen@v%imp on@prep thin@pron%gen fot@n%pl comen@v%imp  man@n al@adv at@prep ,
"Allas, our wardeyn has his palfrey lorn.","Allas, our wardein has his palfrey° lorn.”",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4075,,10,10,Allas our wardeyn has his palfrey lorn,Allas our wardein has his palfrey lorn,uS u Su S u Su S,uS u Su S u Su S,alas@interj oure@pron%pl_gen wardein@n haven@v%pr_3 his@pron1%gen palefrei@n lesen@v4%ppl,alas@interj oure@pron%pl_gen wardein@n haven@v%pr_3 his@pron1%gen palefrei@n lesen@v4%ppl,green
"This Aleyn al forgat, bothe mele and corn;","This Alein al forgat, both mele and corn",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4076,,10,10,This Aleyn al forgat bothe mele and corn,This Alein al forgat both mele and corn,u Su S uS ux Sx u S,u Su S uS u Sx u S,this@gram_adj alein@n1#propn al@adv foryeten@v%pt_3 bothe@num_conj mele@n1 and@conj corn@n,this@gram_adj alein@n1#propn al@adv foryeten@v%pt_3 bothe@num_conj mele@n1 and@conj corn@n,green
Al was out of his mynde his housbondrie.,Al was out of his minde his housbondrie.°,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4077,,10,10,Al was out of his mynde his housbondrie,Al was out of his minde his housbondrie,u S u S u Sx u SuS,u S u S u Sx u SuS,al@adv ben@v%pt_3 oute@adv#prep of@prep his@pron1%gen minde@n1 his@pron1%gen hus-bondrie@n,al@adv ben@v%pt_3 oute@adv#prep of@prep his@pron1%gen minde@n1 his@pron1%gen hus-bondrie@n,green
"What, whilk way is he geen?"""" he gan to crie.",“What? whilk° way is he gane?”° he gan to crie.,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4078,,10,10,What whilk way is he geen he gan to crie,What whilk way is he gane he gan to crie,u S u S u S u S u S,u S u S u Sx u S u S,what@interj which@gram_adj wei@n ben@v%pr_3 he@pron1%nom gon@v%ppl he@pron1%nom ginnen@v%pt_3 to@part crien@v%inf,what@interj which@gram_adj wei@n ben@v%pr_3 he@pron1%nom gon@v%ppl he@pron1%nom ginnen@v%pt_3 to@part crien@v%inf,green
The wyf cam lepynge inward with a ren.,"¶The wif cam leping inward with a ren,°",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4079,,10,10,The wyf cam lepynge inward with a ren,The wif cam leping inward with a ren,u S u Sux Su S u S,u S u Su Su S u S,the@def_art wif@n comen@v%pt_3 lepen@v%prp_abs in-ward@adv with@prep a@indef_art ren@n,the@def_art wif@n comen@v%pt_3 lepen@v%prp_abs in-ward@adv with@prep a@indef_art ren@n,green
