OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"And if ye vouche sauf, anon I shal","And, if ye vouchesauf,° anon I shal",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 52,DIFF,10,10,And if ye vouche sauf anon I shal,And if ye vouchesauf anon I shal,u S u Su S uS u S,u S u SuS uS u S,and@conj if@conj ye@pron%pl_nom vouchen@v%pr_pl sauf@adv an-on@adv ich@pron%nom shulen@v1%pr_1,and@conj if@conj ye@pron%pl_nom vouchen_sauf@v%pr_pl an-on@adv ich@pron%nom shulen@v1%pr_1,green
"Bigynne upon my tale, for which I preye","Biginne upon my tale, for whiche I preye",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 53,,10,10,Bigynne upon my tale for which I preye,Biginne upon my tale for whiche I preye,uSx uS u Sx u S u S,uSx uS u Sx u Sx u S,biginnen@v%inf upon@prep min@pron%gen tale@n for@prep which@pron ich@pron%nom preien@v1%pr_1,biginnen@v%inf upon@prep min@pron%gen tale@n for@prep which@pron ich@pron%nom preien@v1%pr_1,
Telle youre avys; I kan no bettre seye.,"Telle your avis,° I can no bettre seye.",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 54,,10,10,Telle youre avys I kan no bettre seye,Telle your avis I can no bettre seye,ux Sx uS u S u Su S,ux S uS u S u Su S,tellen@v%imp your@pron%pl_gen avis@n ich@pron%nom connen@v%pr_1 no@adv bettre@adv%comp seien@v1%inf,tellen@v%imp your@pron%pl_gen avis@n ich@pron%nom connen@v%pr_1 no@adv bettre@adv%comp seien@v1%inf,
"But nathelees, this meditacioun","But nathelees, this meditacioun",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 55,,10,10,But nathelees this meditacioun,But nathelees this meditacioun,u SuS u SuSuS,u SuS u SuSuS,but@conj no-the-lesse@adv this@gram_adj meditacioun@n,but@conj no-the-lesse@adv this@gram_adj meditacioun@n,
I putte it ay under correccioun,I putte it ay° under correccioun,data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 56,,10,10,I putte it ay under correccioun,I putte it ay under correccioun,u Sx u S uS uSuS,u Sx u S uS uSuS,ich@pron%nom putten@v%pr_1 hit@pron ai@adv under@prep correccioun@n,ich@pron%nom putten@v%pr_1 hit@pron ai@adv under@prep correccioun@n,
"Of clerkes, for I am nat textueel;","Of clerkes, for I am nat textual;°",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 57,,10,10,Of clerkes for I am nat textueel,Of clerkes for I am nat textual,u Su S u S u SuS,u Su S u S u SuS,of@prep clerk@n%pl for@conj ich@pron%nom ben@v%pr_1 not@adv textuel@adj,of@prep clerk@n%pl for@conj ich@pron%nom ben@v%pr_1 not@adv textuel@adj,
"I take but the sentence, trusteth weel.","I take but the sentens,° trusteth wel.",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 58,DIFF,10,10,I take but the sentence trusteth weel,I take but the sentens trusteth wel,u Sx u S uSu Su S,u Su S u Su Su S,ich@pron%nom taken@v%pr_1 but@conj the@def_art sentence@n trusten@v%imp wel@adv,ich@pron%nom taken@v%pr_1 but@conj the@def_art sentence@n trusten@v%imp wel@adv,green
Therfore I make protestacioun,Therfor I make protestacioun,data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 59,,10,10,Therfore I make protestacioun,Therfor I make protestacioun,uSx u Su SuSuS,uS u Su SuSuS,ther-fore@adv ich@pron%nom maken@v1%pr_1 protestacioun@n,ther-fore@adv ich@pron%nom maken@v1%pr_1 protestacioun@n,
That I wol stonde to correccioun.,That I wol stonde to° correccioun.”,data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 60,,10,10,That I wol stonde to correccioun,That I wol stonde to correccioun,u S u Su S uSuS,u S u Su S uSuS,that@conj ich@pron%nom willen@v%pr_1 stonden@v1%inf to@prep correccioun@n,that@conj ich@pron%nom willen@v%pr_1 stonden@v1%inf to@prep correccioun@n,
Upon this word we han assented soone,¶Upon this word° we han assented sone,data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 61,,10,10,Upon this word we han assented soone,Upon this word we han assented sone,uS u S u S uSu Sx,uS u S u S uSu Sx,upon@prep this@gram_adj word@n we@pron%pl_nom haven@v%pr_pl assenten@v%ppl sone@adv,upon@prep this@gram_adj word@n we@pron%pl_nom haven@v%pr_pl assenten@v%ppl sone@adv,
