headword,infinitive,preterite,past_participle,classification,notes
sechen,sechen,"soughte(8), soghte(5), souhte(1)",soght(2),weak,Not in lists
seien,seien,"seide(538), seid(66), saide(25), said(6), seyde(3), saugh(1), seiden(1), sayde(1), amende(1)","seid(89), said(14), seide(4), ones(1), saide(1)",weak,Seams weak
seilen,seilen,sailed(2),yseiled(1),weak,classified by computer (CHECK)
seisen,seisen,,sesed(1),weak,classified by computer (CHECK)
selen,selen,,seled(1),weak,classified by computer (CHECK)
sellen,sellen,solde(1),,weak,classified by computer (CHECK)
semen,semen,"semed(40), seemed(1)",semed(1),weak,classified by morphological evidence (check!)
sen,sen,"saugh(151), saw(78), say(20), sey(12), seigh(9), sawe(3), sawgh(3), sy(2), sei(1), sauh(1), so(1), sigh(1)","seyn(29), sene(16), seen(6), sein(2), yseyn(1), seyen(1)",strong,known strong verb
senden,senden,"sente(54), sent(2), sende(1)","sent(32), ysent(1)",weak,classified by morphological evidence (check!)
serven,serven,"served(3), servede(1)","served(15), yserved(3)",weak,classified by morphological evidence (check!)
setlen,setlen,,ysatled(1),weak,classified by morphological evidence
setten,setten,"sette(55), set(7)",set(45),weak,classified by morphological evidence
seuen,seuen,sewed(1),sowed(1),weak,classified by morphological evidence (check!)
shadwen,shadwen,,shadwed(1),weak,classified by morphological evidence
shaken,shaken,shook(4),shake(1),strong,known strong verb
shamen,shamen,,"shamed(2), yshamed(1)",weak,classified by morphological evidence
shapen,shapen,"shoop(20), shoope(1)","shapen(24), shape(6)",strong,known strong verb
shaven,shaven,,"shave(2), yshave(2)",strong,known strong verb
sheden,sheden,"shedde(1), shadde(1)",,weak,classified by computer (CHECK)
shenden,shenden,shente(3),"shent(7), shente(1)",weak,classified by morphological evidence
sheren,sheren,,"yshore(1), yshorn(1), shorn(1)",TODO,classified by computer (CHECK)
sheuen,sheuen,"shewed(15), shewede(2), showed(1)",shewed(9),weak,classified by morphological evidence (check!)
shinen,shinen,"shoon(24), shinede(1), shone(1), shon(1)",,strong,known strong verb
shitten,shitten,"shette(12), shet(1)","shet(4), yshette(1)",weak,Not in lists
shouven,shouven,"shoof(2), shof(1)","shove(3), yshove(1)",weak,"Although strong in early middle gnlish, seems weak here"
shreden,shreden,shredde(1),,weak,classified by morphological evidence
shrinen,shrinen,,shrined(1),weak,classified by morphological evidence
shriven,shriven,,"shriven(2), schriven(1)",strong,known strong verb
shulen,shulen,"sholde(268), shold(43), shulde(38), shuld(12), shoulde(1)",,weak,classified by morphological evidence (check!)
siften,siften,,sifted(1),weak,classified by morphological evidence
sighen,sighen,sighed(2),,weak,classified by morphological evidence
signifien,signifien,"signified(2), signifide(1)",,weak,classified by morphological evidence
siken,siken,"sighte(10), siked(5)",siked(1),weak,Seams weak
sikeren,sikeren,,sikered(1),weak,classified by computer (CHECK)
singen,singen,"song(17), sang(6), songe(3), songo(1)","songe(7), ysonge(3), songen(2), ysongen(1)",strong,known strong verb
sinken,sinken,,sonken(3),strong,classified by morphological evidence
sitten,sitten,"sat(57), satte(2), sette(1), seet(1), set(1), sete(1), sate(1)","seten(2), sete(1)",strong,In lists
skippen,skippen,skipte(1),,weak,classified by morphological evidence
skriken,skriken,"shrighte(4), shright(1)",shright(1),weak,classified by morphological evidence
slen,slen,"slow(32), slough(11)","slain(78), slawe(8), yslain(6), slein(3), slaine(2), yslawe(2), slawen(1)",strong,known strong verb
slepen,slepen,"sleep(11), slepte(8), slepe(1), slept(1)",,strong,known strong verb
slingen,slingen,slong(1),,strong,classified by computer (CHECK)
slitten,slitten,slitte(1),,weak,classified by morphological evidence
smellen,smellen,smelde(1),,weak,classified by computer (CHECK)
smerten,smerten,smerte(4),,weak,classified by computer (CHECK)
smilen,smilen,smiled(1),,weak,Not in lists
smiten,smiten,"smoot(22), smitest(1), smot(1)","smiten(1), smitten(1), smitted(1)",strong,known strong verb
smithen,smithen,smithed(1),,weak,classified by morphological evidence
sneuen,sneuen,snewed(1),,weak,classified by morphological evidence
sojournen,sojournen,,sojourned(2),weak,classified by computer (CHECK)
somnen,somnen,,somoned(1),weak,classified by morphological evidence
sorten,sorten,sorted(1),,weak,classified by morphological evidence (check!)
sorwen,sorwen,,sorwed(1),weak,classified by morphological evidence
souen,souen,,sowe(2),strong,known strong verb
souken,souken,,souked(1),strong,known strong verb
soulen,soulen,,sowled(1),weak,classified by morphological evidence
