OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
This worthy clerk benignely answerde:,¶This worthy Clerk benignely° answerde,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 21,,10,10,This worthy clerk benignely answerde,This worthy Clerk benignely answerde,u Su S uSuS uSx,u Su S uSuS uSx,this@gram_adj worthi@adj clerk@n benigneli@adv answeren@v%pt_3,this@gram_adj worthi@adj clerk@n benigneli@adv answeren@v%pt_3,
"Hooste,"""" quod he, """"I am under youre yerde;","“Hoste,” quod he, “I am under your yerde;°",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 22,,10,10,Hooste quod he I am under youre yerde,Hoste quod he I am under your yerde,ux S u S u Su Sx uSx,ux S u S u Su S uSx,hoste@n2 quethen@v%pt_3 he@pron1%nom ich@pron%nom ben@v%pr_1 under@prep your@pron%pl_gen yerde@n,hoste@n2 quethen@v%pt_3 he@pron1%nom ich@pron%nom ben@v%pr_1 under@prep your@pron%pl_gen yerde@n,
Ye han of us as now the governance,Ye han of us as now the governaunce,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 23,,10,10,Ye han of us as now the governance,Ye han of us as now the governaunce,u S u S u S u SuSx,u S u S u S u SuSx,ye@pron%pl_nom haven@v%pr_pl of@prep us@pron%pl_obj as@conj nou@adv the@def_art governaunce@n,ye@pron%pl_nom haven@v%pr_pl of@prep us@pron%pl_obj as@conj nou@adv the@def_art governaunce@n,
And therfore wol I do yow obeisance,"And therfor wol I do yow obeisaunce,°",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 24,,10,10,And therfore wol I do yow obeisance,And therfor wol I do yow obeisaunce,u Sux S u S u SuSx,u Su S u S u SuSx,and@conj ther-fore@adv willen@v%pr_1 ich@pron%nom don@v1%inf you@pron%pl_obj obeisaunce@n,and@conj ther-fore@adv willen@v%pr_1 ich@pron%nom don@v1%inf you@pron%pl_obj obeisaunce@n,
"As fer as resoun axeth, hardily.","As fer as reson axeth,° hardily.",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 25,,10,10,As fer as resoun axeth hardily,As fer as reson axeth hardily,u S u Su Su SuS,u S u Su Su SuS,as@conj fer@adv as@conj resoun@n2 asken@v%pr_3 hardili@adv,as@conj fer@adv as@conj resoun@n2 asken@v%pr_3 hardili@adv,
I wol yow telle a tale which that I,I wol yow telle a tale which that I,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 26,,10,10,I wol yow telle a tale which that I,I wol yow telle a tale which that I,u S u Sx u Su S u S,u S u Sx u Su S u S,ich@pron%nom willen@v%pr_1 you@pron%pl_obj tellen@v%inf a@indef_art tale@n which@pron that@pron ich@pron%nom,ich@pron%nom willen@v%pr_1 you@pron%pl_obj tellen@v%inf a@indef_art tale@n which@pron that@pron ich@pron%nom,
Lerned at Padowe of a worthy clerk,Lerned at Padowe° of a worthy clerk,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 27,,10,10,Lerned at Padowe of a worthy clerk,Lerned at Padowe of a worthy clerk,uS u Sux S u Su S,uS u Sux S u Su S,lernen@v%pt_1 at@prep padowe@n#propn of@prep a@indef_art worthi@adj clerk@n,lernen@v%pt_1 at@prep padowe@n#propn of@prep a@indef_art worthi@adj clerk@n,
As preved by his wordes and his werk.,As preved by his wordes and his werk.,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 28,,10,10,As preved by his wordes and his werk,As preved by his wordes and his werk,u Su S u Su S u S,u Su S u Su S u S,as@conj preven@v%pt_3 bi@prep his@pron1%gen word@n%pl and@conj his@pron1%gen werk@n,as@conj preven@v%pt_3 bi@prep his@pron1%gen word@n%pl and@conj his@pron1%gen werk@n,
He is now deed and nayled in his cheste;,"He is now deed and nailed in his cheste,°",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 29,,10,10,He is now deed and nayled in his cheste,He is now deed and nailed in his cheste,u S u S u Su S u Sx,u S u S u Su S u Sx,he@pron1%nom ben@v%pr_3 nou@adv ded@adj and@conj nailen@v%ppl in@prep his@pron1%gen cheste@n,he@pron1%nom ben@v%pr_3 nou@adv ded@adj and@conj nailen@v%ppl in@prep his@pron1%gen cheste@n,
I prey to God so yeve his soule reste!,I prey to God so yeve his soule reste!,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 30,,10,10,I prey to God so yeve his soule reste,I prey to God so yeve his soule reste,u S u S u Sx u Su Sx,u S u S u Sx u Su Sx,ich@pron%nom preien@v1%pr_1 to@prep god@n1#propn so@adv yeven@v%pr_3 his@pron1%gen soule@n reste@n1,ich@pron%nom preien@v1%pr_1 to@prep god@n1#propn so@adv yeven@v%pr_3 his@pron1%gen soule@n reste@n1,
