OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"Of hevene and erthe, oure bille up for to beede.","Of hevene and erthe, our bille° up for to bede.°",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 110,,10,10,Of hevene and erthe oure bille up for to beede,Of hevene and erthe our bille up for to bede,u Sxx u Sx ux Sx u S u Sx,u Sux S ux S ux S u S xx,of@prep heven@n and@conj erthe@n1 oure@pron%pl_gen bille@n up@adv for@prep#adv to@part beden@v%inf,of@prep heven@n and@conj erthe@n1 oure@pron%pl_gen bille@n up@adv for@prep#adv to@part beden@v%inf,
This world awaiteth evere on thi goodnesse,This world awaiteth° ever on° thy goodnesse,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 111,,10,10,This world awaiteth evere on thi goodnesse,This world awaiteth ever on thy goodnesse,u S uSu Sxx u S uSx,u S uSu S u S uSx,this@gram_adj world@n awaiten@v%pr_3 ever@adv on@prep thin@pron%gen godnesse@n2,this@gram_adj world@n awaiten@v%pr_3 ever@adv on@prep thin@pron%gen godnesse@n2,
For thou ne failest nevere wight at neede.,For thou ne failest never wight° at nede.,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 112,,10,10,For thou ne failest nevere wight at neede,For thou ne failest never wight at nede,u S u Su Sux S u Sx,u S u Su Su S u Sx,for@conj thou@pron%nom ne@adv failen@v%pr_2 never@adv wight@n at@prep nede@n1,for@conj thou@pron%nom ne@adv failen@v%pr_2 never@adv wight@n at@prep nede@n1,
Purpos I have sum time for to enquere,"Purpos° I have sum time for t’enquere,°",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 113,,10,10,Purpos I have sum time for to enquere,Purpos I have sum time for t enquere,uS u Sx u Sx u S uSx,uS u Sx u Su S  uSx,purpos@n ich@pron%nom haven@v%pr_1 som@gram_adj time@n for@prep#adv to@part enqueren@v%inf,purpos@n ich@pron%nom haven@v%pr_1 som@gram_adj time@n for@prep#adv to@part enqueren@v%inf,
Wherfore and whi the Holi Gost thee soughte,"Wherfore° and why the Holy Gost thee souhte,°",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 114,DIFF,10,10,Wherfore and whi the Holi Gost thee soughte,Wherfore and why the Holy Gost thee souhte,uSx u S u Su S u Sx,uSx u S u Su S u Sx,wher-for@adv and@conj whi@adv the@def_art holi@adj2 gost@n the@pron2%obj sechen@v%pt_3,wher-for@adv and@conj whi@adv the@def_art holi@adj2 gost@n the@pron2%obj sechen@v%pt_3,green
Whan Gabrielles vois cam to thin ere.,Whan Gabrielles vois cam to thin ere.,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 115,,9,9,Whan Gabrielles vois cam to thin ere,Whan Gabrielles vois cam to thin ere,S uSu S u S u Sx,S uSu S u S u Sx,whan@adv&conj gabrielles@n#propn%gen voice@n comen@v%pt_3 to@prep thin@pron%gen ere@n1,whan@adv&conj gabrielles@n#propn%gen voice@n comen@v%pt_3 to@prep thin@pron%gen ere@n1,
He not to werre us swich a wonder wroughte,"He not to werre° us° swich a wonder wrouhte,°",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 116,DIFF,10,10,He not to werre us swich a wonder wroughte,He not to werre us swich a wonder wrouhte,u S u Sx u S u Su Sx,u S u Sx u S u Su Sx,he@pron1%nom not@adv to@prep werre@n1 us@pron%pl_obj swich@gram_adj a@indef_art wonder@n werken@v%pt_3,he@pron1%nom not@adv to@prep werre@n1 us@pron%pl_obj swich@gram_adj a@indef_art wonder@n werken@v%pt_3,green
But for to save us that he sithen boughte.,But for to save us that he sithen° bouhte.°,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 117,DIFF,10,10,But for to save us that he sithen boughte,But for to save us that he sithen bouhte,u S u Sx u S u Su Sx,u S u Sx u S u Su Sx,but@conj for@prep#adv to@part saven@v%inf us@pron%pl_obj that@pron he@pron1%nom sitthen@adv bien@v%pt_3,but@conj for@prep#adv to@part saven@v%inf us@pron%pl_obj that@pron he@pron1%nom sitthen@adv bien@v%pt_3,green
Thanne needeth us no wepen us for to save,"Than needeth us° no wepen us to save,°",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 118,DIFF,10,10,Thanne needeth us no wepen us for to save,Than needeth us no wepen us to save,ux Su S u Sx u S u Sx,u Su S u Su S u Sx,thanne@adv neden@v2%pr_3 us@pron%pl_obj no@gram_adj wepen@n us@pron%pl_obj for@prep#adv to@part saven@v%inf,thanne@adv neden@v2%pr_3 us@pron%pl_obj no@gram_adj wepen@n us@pron%pl_obj to@part saven@v%inf,green
"But oonly ther we dide not, as us oughte","But only ther° we did not, as us ouhte",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 119,DIFF,10,10,But oonly ther we dide not as us oughte,But only ther we did not as us ouhte,u Su S u Sx u S u Sx,u Su S u S u S u Sx,but@conj onli@adv ther@adv we@pron%pl_nom don@v1%pt_pl not@adv as@conj us@pron%pl_obj ouen@v%pt_3,but@conj onli@adv ther@adv we@pron%pl_nom don@v1%pt_pl not@adv as@conj us@pron%pl_obj ouen@v%pt_3,green
