file,ger_compliance_pct,ger_following,ger_violating,overall_compliance_pct,total_following,total_lines,total_violating,v%inf_compliance_pct,v%inf_following,v%inf_violating,v%ppl_compliance_pct,v%ppl_following,v%ppl_violating,v%pr_1_compliance_pct,v%pr_1_following,v%pr_1_violating,v%pr_2_compliance_pct,v%pr_2_following,v%pr_2_violating,v%pr_3_compliance_pct,v%pr_3_following,v%pr_3_violating,v%pr_pl_compliance_pct,v%pr_pl_following,v%pr_pl_violating,v%pt_1_compliance_pct,v%pt_1_following,v%pt_1_violating,v%pt_2_compliance_pct,v%pt_2_following,v%pt_2_violating,v%pt_3_compliance_pct,v%pt_3_following,v%pt_3_violating,v%pt_compliance_pct,v%pt_following,v%pt_pl_compliance_pct,v%pt_pl_following,v%pt_pl_violating,v%pt_violating
MilT_gui_complete.csv,25.0,3,9,96.49,688,668,25,94.94,150,8,100.0,65,0,100.0,47,0,100.0,14,0,100.0,122,0,80.0,16,4,100.0,2,0,0.0,0,0,100.0,260,0,0.0,0,69.23,9,4,0
ClT_gui_complete.csv,25.93,7,20,94.16,1129,1156,70,94.77,272,15,100.0,114,0,100.0,88,0,100.0,12,0,100.0,182,0,65.91,58,30,100.0,31,0,0.0,0,0,100.0,329,0,0.0,0,87.8,36,5,0
KnT_gui_complete.csv,35.71,25,45,96.28,2070,2250,80,96.7,439,15,100.0,266,0,100.0,126,0,100.0,39,0,100.0,430,0,84.3,102,19,100.0,28,0,100.0,6,0,100.0,530,0,0.0,0,98.75,79,1,0
MancPro_gui_complete.csv,0.0,0,2,94.66,124,104,7,97.3,36,1,100.0,11,0,100.0,5,0,100.0,3,0,100.0,35,0,40.0,2,3,100.0,2,0,0.0,0,0,100.0,30,0,0.0,0,0.0,0,1,0
Anelida_gui_complete.csv,22.22,2,7,96.25,334,357,13,97.5,78,2,100.0,40,0,100.0,32,0,100.0,3,0,100.0,70,0,80.0,8,2,100.0,9,0,0.0,0,0,100.0,87,0,0.0,0,71.43,5,2,0
PhyT_gui_complete.csv,25.0,2,6,93.46,286,286,20,98.63,72,1,100.0,31,0,100.0,13,0,100.0,1,0,100.0,59,0,45.0,9,11,100.0,1,0,100.0,2,0,100.0,91,0,0.0,0,71.43,5,2,0
GP_gui_complete.csv,23.81,5,16,95.72,873,860,39,94.18,178,11,100.0,87,0,100.0,23,0,0.0,0,0,100.0,70,0,77.27,17,5,100.0,5,0,0.0,0,0,100.0,454,0,0.0,0,82.93,34,7,0
MLT_gui_complete.csv,37.5,6,10,95.31,995,1029,49,94.88,204,11,100.0,124,0,100.0,52,0,100.0,15,0,100.0,228,0,70.0,56,24,100.0,7,0,100.0,4,0,100.0,282,0,0.0,0,80.95,17,4,0
BD_gui_complete.csv,71.88,23,9,93.87,1164,1333,76,85.83,206,34,100.0,115,0,100.0,106,0,100.0,3,0,100.0,153,0,60.0,15,10,100.0,132,0,100.0,2,0,100.0,376,0,0.0,0,58.93,33,23,0
SumT_gui_complete.csv,45.45,5,6,96.12,570,586,23,97.25,106,3,100.0,74,0,100.0,50,0,100.0,4,0,100.0,140,0,75.56,34,11,100.0,8,0,100.0,1,0,100.0,142,0,0.0,0,66.67,6,3,0
TC5_gui_complete.csv,40.0,6,9,96.61,1853,1869,65,95.16,551,28,100.0,138,0,100.0,154,0,100.0,28,0,100.0,301,0,72.82,75,28,100.0,52,0,100.0,5,0,100.0,503,0,0.0,0,100.0,40,0,0
NPPro_gui_complete.csv,0.0,0,3,90.0,63,54,7,92.86,13,1,100.0,10,0,100.0,5,0,100.0,1,0,100.0,22,0,25.0,1,3,0.0,0,0,0.0,0,0,100.0,10,0,0.0,0,100.0,1,0,0
PF_gui_complete.csv,33.33,6,12,94.95,658,699,35,98.32,176,3,100.0,56,0,100.0,60,0,100.0,17,0,100.0,131,0,62.86,22,13,100.0,38,0,100.0,1,0,100.0,125,0,0.0,0,78.79,26,7,0
PardT_gui_complete.csv,15.38,2,11,92.93,486,506,37,93.08,121,9,100.0,55,0,100.0,31,0,100.0,11,0,100.0,108,0,70.45,31,13,100.0,5,0,100.0,3,0,100.0,103,0,0.0,0,80.0,16,4,0
RvT_gui_complete.csv,25.0,1,3,94.62,457,404,26,92.55,87,7,100.0,58,0,100.0,34,0,100.0,5,0,100.0,96,0,37.5,9,15,100.0,5,0,0.0,0,0,100.0,146,0,0.0,0,94.12,16,1,0
NPT_gui_complete.csv,16.67,2,10,93.31,586,626,42,93.08,121,9,100.0,66,0,100.0,38,0,100.0,6,0,100.0,77,0,65.96,31,16,100.0,15,0,100.0,3,0,100.0,202,0,0.0,0,78.12,25,7,0
ParsPro_reordered_gui_complete.csv,0.0,0,0,92.75,64,74,5,100.0,13,0,100.0,8,0,100.0,13,0,100.0,3,0,100.0,11,0,16.67,1,5,0.0,0,0,0.0,0,0,100.0,13,0,0.0,0,100.0,2,0,0
SumPro_gui_complete.csv,0.0,0,0,90.91,40,44,4,83.33,5,1,100.0,3,0,100.0,3,0,0.0,0,0,100.0,8,0,40.0,2,3,0.0,0,0,0.0,0,0,100.0,14,0,0.0,0,100.0,5,0,0
TC1_gui_complete.csv,48.0,12,13,95.63,1138,1092,52,93.97,296,19,100.0,102,0,100.0,93,0,100.0,39,0,100.0,216,0,67.74,42,20,100.0,15,0,100.0,8,0,100.0,283,0,0.0,0,100.0,32,0,0
ThopPro_gui_complete.csv,0.0,0,0,95.45,21,21,1,100.0,6,0,100.0,2,0,100.0,1,0,0.0,0,0,100.0,2,0,0.0,0,1,100.0,2,0,100.0,1,0,100.0,7,0,0.0,0,0.0,0,0,0
