Source_File,Tag,Ending,Count,Percent
LGW_gui_complete.csv,v%pr_3,-d,1,0.22%
LGW_gui_complete.csv,v%pr_3,-de,1,0.22%
LGW_gui_complete.csv,v%ppl,-t,17,13.82%
LGW_gui_complete.csv,v%ppl,-e,6,4.88%
LGW_gui_complete.csv,v%ppl,-ed,54,43.90%
LGW_gui_complete.csv,v%ppl,-d,14,11.38%
LGW_gui_complete.csv,v%ppl,-en,15,12.20%
LGW_gui_complete.csv,v%ppl,-n,17,13.82%
LGW_gui_complete.csv,v%pt_3_neg,other,9,69.23%
LGW_gui_complete.csv,v%pt_3_neg,-e,3,23.08%
LGW_gui_complete.csv,v%pt_3_neg,-te,1,7.69%
LGW_gui_complete.csv,v%pr_1,-e,23,30.26%
LGW_gui_complete.csv,v%pr_1,other,37,48.68%
LGW_gui_complete.csv,v%pr_1,-et,2,2.63%
LGW_gui_complete.csv,v%pr_1,-de,1,1.32%
LGW_gui_complete.csv,v%pr_1,-n,4,5.26%
LGW_gui_complete.csv,v%pr_1,-t,7,9.21%
LGW_gui_complete.csv,v%pr_1,-te,2,2.63%
LGW_gui_complete.csv,v%pt_1,-d,4,19.05%
LGW_gui_complete.csv,v%pt_1,other,6,28.57%
LGW_gui_complete.csv,v%pt_1,-e,2,9.52%
LGW_gui_complete.csv,v%pt_1,-de,3,14.29%
LGW_gui_complete.csv,v%pt_1,-te,4,19.05%
LGW_gui_complete.csv,v%pt_1,-ed,2,9.52%
LGW_gui_complete.csv,v%pr_pl,-en,36,33.96%
LGW_gui_complete.csv,v%pr_pl,-eth,2,1.89%
LGW_gui_complete.csv,v%pr_pl,-n,17,16.04%
LGW_gui_complete.csv,v%pr_pl,other,28,26.42%
LGW_gui_complete.csv,v%pr_pl,-e,18,16.98%
LGW_gui_complete.csv,v%pr_pl,-te,4,3.77%
LGW_gui_complete.csv,v%pr_pl,vowel,1,0.94%
LGW_gui_complete.csv,v%ppl_abs,vowel,1,7.14%
LGW_gui_complete.csv,v%ppl_abs,-ed,12,85.71%
LGW_gui_complete.csv,v%ppl_abs,-e,1,7.14%
LGW_gui_complete.csv,v%imp,-eth,2,6.90%
LGW_gui_complete.csv,v%imp,other,9,31.03%
LGW_gui_complete.csv,v%imp,-t,4,13.79%
LGW_gui_complete.csv,v%imp,-e,7,24.14%
LGW_gui_complete.csv,v%imp,vowel,2,6.90%
LGW_gui_complete.csv,v%imp,-et,1,3.45%
LGW_gui_complete.csv,v%imp,-d,2,6.90%
LGW_gui_complete.csv,v%imp,-ed,1,3.45%
LGW_gui_complete.csv,v%imp,-te,1,3.45%
LGW_gui_complete.csv,v%pr_3_neg,other,9,100.00%
LGW_gui_complete.csv,v%pt_pl,-en,20,37.74%
LGW_gui_complete.csv,v%pt_pl,-e,7,13.21%
LGW_gui_complete.csv,v%pt_pl,-te,8,15.09%
LGW_gui_complete.csv,v%pt_pl,-de,7,13.21%
LGW_gui_complete.csv,v%pt_pl,-d,8,15.09%
LGW_gui_complete.csv,v%pt_pl,other,1,1.89%
LGW_gui_complete.csv,v%pt_pl,-et,1,1.89%
LGW_gui_complete.csv,v%pt_pl,-ed,1,1.89%
LGW_gui_complete.csv,v%pr_2_neg,-t,1,100.00%
LGW_gui_complete.csv,v%pt_2,-est,9,75.00%
