Source_File,Tag,Verb_Class,Ending,Count,Percent
WBT_gui_complete.csv,v%inf,strong,-e,29,51.79%
WBT_gui_complete.csv,v%inf,strong,-en,4,7.14%
WBT_gui_complete.csv,v%inf,strong,vowel,11,19.64%
WBT_gui_complete.csv,v%inf,strong,other,4,7.14%
WBT_gui_complete.csv,v%inf,strong,-de,7,12.50%
WBT_gui_complete.csv,v%inf,strong,-te,1,1.79%
WBT_gui_complete.csv,v%inf,unknown,-e,10,83.33%
WBT_gui_complete.csv,v%inf,unknown,-te,1,8.33%
WBT_gui_complete.csv,v%inf,unknown,-de,1,8.33%
WBT_gui_complete.csv,v%inf,weak,-e,11,64.71%
WBT_gui_complete.csv,v%inf,weak,-de,2,11.76%
WBT_gui_complete.csv,v%inf,weak,-te,3,17.65%
WBT_gui_complete.csv,v%inf,weak,-en,1,5.88%
WBT_gui_complete.csv,v%ppl,irregular,-t,1,100.00%
WBT_gui_complete.csv,v%ppl,strong,other,1,20.00%
WBT_gui_complete.csv,v%ppl,strong,-en,3,60.00%
WBT_gui_complete.csv,v%ppl,strong,-e,1,20.00%
WBT_gui_complete.csv,v%ppl,weak,-t,3,15.79%
WBT_gui_complete.csv,v%ppl,weak,-ed,15,78.95%
WBT_gui_complete.csv,v%ppl,weak,-de,1,5.26%
WBT_gui_complete.csv,v%ppl_abs,irregular,vowel,1,100.00%
WBT_gui_complete.csv,v%ppl_abs,weak,-ed,1,100.00%
WBT_gui_complete.csv,v%pr_1,irregular,-ede,1,6.25%
WBT_gui_complete.csv,v%pr_1,irregular,other,9,56.25%
WBT_gui_complete.csv,v%pr_1,irregular,-e,5,31.25%
WBT_gui_complete.csv,v%pr_1,irregular,-t,1,6.25%
WBT_gui_complete.csv,v%pr_1,strong,other,4,36.36%
WBT_gui_complete.csv,v%pr_1,strong,-e,4,36.36%
WBT_gui_complete.csv,v%pr_1,strong,vowel,2,18.18%
WBT_gui_complete.csv,v%pr_1,strong,-de,1,9.09%
WBT_gui_complete.csv,v%pr_1,unknown,-de,1,33.33%
WBT_gui_complete.csv,v%pr_1,unknown,-e,2,66.67%
WBT_gui_complete.csv,v%pr_1,weak,-te,3,27.27%
WBT_gui_complete.csv,v%pr_1,weak,other,4,36.36%
WBT_gui_complete.csv,v%pr_1,weak,-e,2,18.18%
WBT_gui_complete.csv,v%pr_1,weak,-de,1,9.09%
WBT_gui_complete.csv,v%pr_1,weak,-t,1,9.09%
WBT_gui_complete.csv,v%pr_1_neg,strong,other,1,100.00%
WBT_gui_complete.csv,v%pr_2,irregular,-t,3,100.00%
WBT_gui_complete.csv,v%pr_2,strong,-t,2,100.00%
WBT_gui_complete.csv,v%pr_2,weak,-e,1,100.00%
WBT_gui_complete.csv,v%pr_2_pron,irregular,other,1,100.00%
WBT_gui_complete.csv,v%pr_3,irregular,other,22,57.89%
