Headword,Tag,Ending,Count,Percent
haven,v%pt_2,-de,1,9.09%
haven,v%pt_2,-d,1,9.09%
haven,v%pr_3_neg,other,3,100.00%
haven,v%pt_3_neg,other,1,33.33%
haven,v%pt_3_neg,-de,2,66.67%
haven,v%pt_2_pron,other,1,100.00%
haven,v%pt_1_neg,-de,1,100.00%
haven,v%prp,-e,1,100.00%
preien,v%ppl,-ed,5,100.00%
preien,v%pr_1,-e,53,49.53%
preien,v%pr_1,other,54,50.47%
preien,v%inf,other,3,7.89%
preien,v%inf,-e,31,81.58%
preien,v%inf,-en,4,10.53%
preien,v%pt_pl,-en,2,50.00%
preien,v%pt_pl,-de,2,50.00%
preien,v%pr_pl,-en,3,27.27%
preien,v%pr_pl,-e,7,63.64%
preien,v%pr_pl,other,1,9.09%
preien,v%pt_3,-ede,6,20.00%
preien,v%pt_3,-de,18,60.00%
preien,v%pt_3,-ed,6,20.00%
preien,v%prp_abs,-e,2,100.00%
preien,v%pr_3,other,1,25.00%
preien,v%pr_3,-e,1,25.00%
preien,v%pr_3,-eth,2,50.00%
preien,v%imp,other,2,28.57%
preien,v%imp,-eth,5,71.43%
preien,v%pt_1,-de,1,50.00%
preien,v%pt_1,-ed,1,50.00%
preien,v%pr_2,-e,1,100.00%
preien,v%pt_2,-t,1,100.00%
shulen,v%pt_3,-de,188,100.00%
shulen,v%pr_3,other,396,100.00%
shulen,v%pt_pl,-de,49,75.38%
shulen,v%pt_pl,-en,16,24.62%
shulen,v%pr_1,other,225,99.56%
shulen,v%pr_1,vowel,1,0.44%
shulen,v%pr_pl,other,143,94.70%
shulen,v%pr_pl,-en,5,3.31%
shulen,v%pr_pl,-e,3,1.99%
shulen,v%pr_2_pron,other,13,72.22%
shulen,v%pr_2_pron,vowel,5,27.78%
shulen,v%pt_1,-de,28,93.33%
shulen,v%pt_1,vowel,2,6.67%
shulen,v%pr_2,-t,85,95.51%
shulen,v%pr_2,other,4,4.49%
shulen,v%pt_2_pron,other,2,66.67%
shulen,v%pt_2_pron,vowel,1,33.33%
shulen,v%pt_2,-t,8,100.00%
pleien,v%inf,-e,52,85.25%
pleien,v%inf,-en,7,11.48%
pleien,v%inf,other,2,3.28%
pleien,v%pr_pl,-e,10,90.91%
pleien,v%pr_pl,-en,1,9.09%
pleien,v%pt_3,-de,8,100.00%
