infinitive,headword,category,known_strong,ppl_strong_forms,ppl_weak_forms,ppl_unclear_forms,pt_strong_forms,pt_weak_forms,pt_unclear_forms,ppl_strong_count,ppl_weak_count,ppl_unclear_count,pt_strong_count,pt_weak_count,pt_unclear_count,total_occurrences
enduren,enduren,weak,False,,endured(2),,,endured(2),,0,2,0,0,2,0,4
enfourmen,enfourmen,weak,False,,enformed(2),,,,,0,2,0,0,0,0,2
engendren,engendren,weak,False,,engendred(6); engendered(1),,,,,0,7,0,0,0,0,7
enhabiten,enhabiten,weak,False,,enhabit(2),,,,,0,2,0,0,0,0,2
enhauncen,enhauncen,weak,False,,enhaunced(3),,,,,0,3,0,0,0,0,3
enspiren,enspiren,weak,False,,inspired(2),,,,,0,2,0,0,0,0,2
entenden,entenden,weak,False,,,,,entended(2),,0,0,0,0,2,0,2
enterchaungen,enterchaungen,weak,False,,entrechaunged(2),,,,,0,2,0,0,0,0,2
entitelen,entitelen,weak,False,,entitled(1),,,,,0,1,0,0,0,0,1
entren,entren,weak,False,,entred(4),,,,,0,4,0,0,0,0,4
envenimen,envenimen,weak,False,,envenimed(1); envenymed(1),,,,,0,2,0,0,0,0,2
envolupen,envolupen,weak,False,,envoluped(2),,,,,0,2,0,0,0,0,2
escapen,escapen,weak,False,,escaped(2),,,,,0,2,0,0,0,0,2
escheuen,escheuen,weak,False,,eschued(1),,,,,0,1,0,0,0,0,1
esen,esen,weak,False,,esed(7),,,,,0,7,0,0,0,0,7
exciten,exciten,weak,False,,,,,excited(2),,0,0,0,0,2,0,2
excusen,excusen,weak,False,,excused(2),,,,,0,2,0,0,0,0,2
executen,executen,weak,False,,execut(2),,,,,0,2,0,0,0,0,2
expounen,expounen,weak,False,,,,,expouned(2); expowned(2),,0,0,0,0,4,0,4
failen,failen,weak,False,,,,,failled(3); failed(1),,0,0,0,0,4,0,4
falsen,falsen,weak,False,,falsed(4),,,falsed(2),,0,4,0,0,2,0,6
farsen,farsen,weak,False,,farsed(2),,,,,0,2,0,0,0,0,2
fasten,fasten,weak,False,,fast(2),,,fasted(6),,0,2,0,0,6,0,8
faunen,faunen,weak,False,,,,,fauned(2),,0,0,0,0,2,0,2
feden,feden,weak,False,,fed(2),,,fedde(4),,0,2,0,0,4,0,6
feffen,feffen,weak,False,,feffed(2),,,,,0,2,0,0,0,0,2
feinen,feinen,weak,False,,feyned(2); feined(1),,,feined(4); feyned(3); feynede(1),,0,3,0,0,8,0,11
felen,felen,weak,False,,felt(12); feled(2),,,felte(59); felt(6); felede(1); feelede(1); feled(1),,0,14,0,0,68,0,82
fellen,fellen,weak,False,,feld(2),,,,,0,2,0,0,0,0,2
feteren,feteren,weak,False,,fetered(2),,,fettred(2),,0,2,0,0,2,0,4
fetheren,fetheren,weak,False,,,,,fethered(2),,0,0,0,0,2,0,2
fetten,fetten,weak,False,,fet(6),,,fette(5),,0,6,0,0,5,0,11
fillen,fillen,weak,False,,fild(2); filled(2),,,,,0,4,0,0,0,0,4
fishen,fishen,weak,False,,fisshed(2),,,,,0,2,0,0,0,0,2
flateren,flateren,weak,False,,yflatered(2),,,,,0,2,0,0,0,0,2
flen,flen,weak,False,,fled(12); yfled(2),,,fledde(4),,0,14,0,0,4,0,18
flikeren,flikeren,weak,False,,,,,flikered(1),,0,0,0,0,1,0,1
flouren,flouren,weak,False,,,,,floured(2),,0,0,0,0,2,0,2
folwen,folwen,weak,False,,yfolowed(2),,,folowede(1); folwed(9); folowed(1); folewed(1); folwede(3),,0,2,0,0,15,0,17
fore-witen,fore-witen,weak,False,,,,,forwot(3); forwoot(4),,0,0,0,0,7,0,7
forgonen,forgon,weak,False,,,,,foryede(2),,0,0,0,0,2,0,2
formen,formen,weak,False,,yformed(5); formed(3); ifourmed(1),,,formed(4); formede(1),,0,9,0,0,5,0,14
forwrappen,forwrappen,weak,False,,forwrapped(2),,,,,0,2,0,0,0,0,2
fostren,fostren,weak,False,,yfostred(4); fostred(11),,,fostred(4),,0,15,0,0,4,0,19
founden,founden,weak,False,,founded(3),,,,,0,3,0,0,0,0,3
foundren,foundren,weak,False,,,,,foundred(2),,0,0,0,0,2,0,2
ful-fillen,ful-fillen,weak,False,,fulfild(9); fulfilled(2),,,,,0,11,0,0,0,0,11
gaderen,gaderen,weak,False,,gadered(1),,,gadrede(1); gadered(2),,0,1,0,0,3,0,4
gamen,gamen,weak,False,,,,,gamed(2),,0,0,0,0,2,0,2
gasen,gasen,weak,False,,,,,gazed(2),,0,0,0,0,2,0,2
giden,giden,weak,False,,gided(1),,,,,0,1,0,0,0,0,1
gladen,gladen,weak,False,,gladed(1),,,gladded(3); gladed(3); gladede(2),,0,1,0,0,8,0,9
gliteren,gliteren,weak,False,,,,,glitered(1); glytered(1),,0,0,0,0,2,0,2
governen,governen,weak,False,,governed(3),,,governed(4),,0,3,0,0,4,0,7
graunten,graunten,weak,False,,graunted(16); ygraunted(2),,,grauntede(1); graunted(22),,0,18,0,0,23,0,41
greten,greten,weak,False,,,,,grette(2),,0,0,0,0,2,0,2
greven,greven,weak,False,,,,,greved(2),,0,0,0,0,2,0,2
gropen,gropen,weak,False,,,,,groped(2),,0,0,0,0,2,0,2
grounden,grounden,weak,False,,grounded(2),,,,,0,2,0,0,0,0,2
halouen,halouen,weak,False,,yhalowed(2),,,,,0,2,0,0,0,0,2
halwen,halwen,weak,False,,halwed(2),,,halwed(2),,0,2,0,0,2,0,4
hamelen,hamelen,weak,False,,hameled(2),,,,,0,2,0,0,0,0,2
happen,happen,weak,False,,,,,happed(21); happede(3),,0,0,0,0,24,0,24
harden,harden,weak,False,,yharded(2),,,,,0,2,0,0,0,0,2
haten,haten,weak,False,,yhated(2),,,hated(2),,0,2,0,0,2,0,4
helen,helen,weak,False,,heled(7); heeled(5),,,,,0,12,0,0,0,0,12
helmen,helmen,weak,False,,helmed(4),,,,,0,4,0,0,0,0,4
