OG_OXFORD_TEXT,OXFORD_TEXT,GREEN_SCANSION,GREEN_SYLLABLES,V1_SCANSION,V1_SYLLABLES,V1_MATCHES_GREEN,V1_CONFIDENCE,V2_SCANSION,V2_SYLLABLES,V2_MATCHES_GREEN,V2_CONFIDENCE,V3_SCANSION,V3_SYLLABLES,V3_MATCHES_GREEN,V3_CONFIDENCE,V4_SCANSION,V4_SYLLABLES,V4_MATCHES_GREEN,V4_CONFIDENCE,V5_SCANSION,V5_SYLLABLES,V5_MATCHES_GREEN,V5_CONFIDENCE,V6_SCANSION,V6_SYLLABLES,V6_MATCHES_GREEN,V6_CONFIDENCE,V7_SCANSION,V7_SYLLABLES,V7_MATCHES_GREEN,V7_CONFIDENCE,V8_SCANSION,V8_SYLLABLES,V8_MATCHES_GREEN,V8_CONFIDENCE,V9_SCANSION,V9_SYLLABLES,V9_MATCHES_GREEN,V9_CONFIDENCE
To boil the chiknes with the marybones,To boil the chiknes with the marybones,u S u Su S u SuSu,11,u S u Su S u SuSx,10,0,43.48,u S u Su S u SuSx,10,0,43.48,u S u Su S u SuSx,10,0,46.34,u S u Su S u SuSx,10,0,43.48,u S u Su S u SuSx,10,0,43.48,u S u Su S u SuSx,10,0,43.48,u S u Su S u SuSx,10,0,43.48,u S u Su S u SuSx,10,0,43.48,      ,0,0,0.00
Trouthe and honour fredom and curteisie,Trouthe and honour fredom and curteisie,u S uS uS u SuS,10,ux S uS uS u SuS,10,1,59.52,ux S uS uS u SuS,10,1,59.52,ux S uS uS u SuS,10,1,59.52,ux S uS uS u SuS,10,1,59.52,ux S uS uS u SuS,10,1,59.52,ux S uS uS u SuS,10,1,59.52,ux S uS uS u SuS,10,1,59.52,ux S uS uS u SuS,10,1,59.52,ux S uS uS u SuS,10,1,59.52
"And faste he swoor, that it was passed prime",And faste he swoor that it was passed prime,u Sx u S u S u Su Sx,10,u Sx u S u S u Su Sx,10,1,62.20,u Sx u S u S u Su Sx,10,1,62.20,u Sx u S u S u Su Sx,10,1,62.20,u Sx u S u S u Su Sx,10,1,62.20,u Sx u S u S u Su Sx,10,1,62.20,u Sx u S u S u Su Sx,10,1,62.20,u Sx u S u S u Su Sx,10,1,62.20,u Sx u S u S u Su Sx,10,1,62.20,u Sx u S u S u Su Sx,10,1,62.20
To speke of this? I trowe it be the beste;,To speke of this I trowe it be the beste,u Sx u S u Sx u S u Sx,10,u Sx u S u Sx u S u Sx,10,1,66.32,u Sx u S u Sx u S u Sx,10,1,66.32,u Sx u S u Sx u S u Sx,10,1,67.32,u Sx u S u Sx u S u Sx,10,1,66.32,u Sx u S u Sx u S u Sx,10,1,66.32,u Sx u S u Sx u S u Sx,10,1,66.32,u Sx u S u Sx u S u Sx,10,1,66.32,u Sx u S u Sx u S u Sx,10,1,66.32,u Sx u S u Sx u S u Sx,10,1,66.32
"Ywis, I love him best, so doth he me;",Ywis I love him best so doth he me,uS u Sx u S u S u S,10,uS u Sx u S u S u S,10,1,72.89,uS u Sx u S u S u S,10,1,72.89,uS u Sx u S u S u S,10,1,74.00,uS u Sx u S u S u S,10,1,72.89,uS u Sx u S u S u S,10,1,72.89,uS u Sx u S u S u S,10,1,72.89,uS u Sx u S u S u S,10,1,72.89,uS u Sx u S u S u S,10,1,72.89,uS u Sx u S u S u S,10,1,72.89
Out of these blake wawes for to saile,Out of these blake wawes for to saile,u S ux Su Su S u Sx,10,u S ux Su Su S u Sx,10,1,41.69,u S ux Su Su S u Sx,10,1,41.69,u S xu Su Su S u Sx,10,1,44.19,u S ux Su Su S u Sx,10,1,41.69,u S ux Su Su S u Sx,10,1,41.69,u S ux Su Su S u Sx,10,1,41.69,u S ux Su Su S u Sx,10,1,41.69,u S ux Su Su S u Sx,10,1,41.69,       ,0,0,0.00
That highte° the grete temple of Mars in Trace,That highte the grete temple of Mars in Trace,u Su x Su Sx u S u S,10,u Sx u Su Su S u S ux,11,0,37.87,u Sx u Su Su S u S ux,11,0,37.87,u Sx u Su Su S u S ux,11,0,41.20,u Sx u Su Su S u S ux,11,0,37.87,u Sx u Su Su S u S ux,11,0,37.87,u Sx u Su Su S u S ux,11,0,37.87,        ,0,0,0.00,u Sx u Sx uS u S u Sx,10,0,46.24,u Sx u Sx uS u S u Sx,10,0,46.24
"Lo, yond he rit!” Quod she, “Ye, so he dooth.”",Lo yond he rit Quod she Ye so he dooth,u S u S u S u S u S,10,u S u S u S u S u S,10,1,54.17,u S u S u S u S u S,10,1,54.17,u S u S u S u S u S,10,1,55.17,u S u S u S u S u S,10,1,54.17,u S u S u S u S u S,10,1,54.17,u S u S u S u S u S,10,1,54.17,u S u S u S u S u S,10,1,54.17,u S u S u S u S u S,10,1,54.17,u S u S u S u S u S,10,1,54.17
Averrois Damascien and Constantin,Averrois Damascien and Constantin,uSu SuS u SuS,10,uSu SuSu S uSu,11,0,2.28,uSu SuSu S uSu,11,0,2.28,uSu SuSu S uSu,11,0,2.28,uSu SuSu S uSu,11,0,2.28,uSu SuSu S uSu,11,0,2.28,   ,0,0,0.00,   ,0,0,0.00,uSu SuS u SuS,10,1,22.72,   ,0,0,0.00
In mottelee and hye on horse he sat,In mottelee and hye on horse he sat,u SuS u S u S u S,10,u SuS u Su S ux S u,11,0,43.37,u SuS u Su S ux S u,11,0,43.37,u SuS u Su S ux S u,11,0,42.12,u SuS u Su S ux S u,11,0,43.37,u SuS u Su S ux S u,11,0,43.37,u SuS u Su S ux S u,11,0,43.37,u SuS u S u Sx u S,10,1,43.47,u SuS u S u Sx u S,10,1,43.47,       ,0,0,0.00
"For as min auctor seide, so seye I.",For as min auctor seide so seye I,u S u Su Su S u S,10,u S u Su Su S u S,10,1,42.77,u S u Su Su S u S,10,1,42.77,u S u Su Su S u S,10,1,44.02,u S u Su Su S u S,10,1,42.77,u S u Su Su S u S,10,1,42.77,u S u Su Su S u S,10,1,42.77,u S u Su Su S u S,10,1,42.77,u S u Su Su S u S,10,1,42.77,       ,0,0,0.00
"Quod Pandarus, “Lo, here an hard request",Quod Pandarus Lo here an hard request,u SuS u Sx u S uS,10,u SuS u Sx u S uS,10,1,76.70,u SuS u Sx u S uS,10,1,76.70,u SuS u Sx u S uS,10,1,78.13,u SuS u Sx u S uS,10,1,76.70,u SuS u Sx u S uS,10,1,76.70,u SuS u Sx u S uS,10,1,76.70,u SuS u Sx u S uS,10,1,76.70,u SuS u Sx u S uS,10,1,76.70,u SuS u Sx u S uS,10,1,76.70
"And thee right nought, yet al is seid or shal;",And thee right nought yet al is seid or shal,u S u S u S u S u S,10,u S u S u S u S u S,10,1,64.89,u S u S u S u S u S,10,1,64.89,u S u S u S u S u S,10,1,63.89,u S u S u S u S u S,10,1,64.89,u S u S u S u S u S,10,1,64.89,u S u S u S u S u S,10,1,64.89,u S u S u S u S u S,10,1,64.89,u S u S u S u S u S,10,1,64.89,u S u S u S u S u S,10,1,64.89
This Somnour bar to him a stif burdoun,This Somnour bar to him a stif burdoun,u Su S u S u S uS,10,u Su S u S u S uS,10,1,58.58,u Su S u S u S uS,10,1,58.58,u Su S u S u S uS,10,1,58.58,u Su S u S u S uS,10,1,58.58,u Su S u S u S uS,10,1,58.58,u Su S u S u S uS,10,1,58.58,u Su S u S u S uS,10,1,58.58,u Su S u S u S uS,10,1,58.58,u Su S u S u S uS,10,1,58.58
"Ful esily, and ful debonairly",Ful esily and ful debonairly,u SuS u S uSuS,10,u SuS u S uSuS,10,1,58.17,u SuS u S uSuS,10,1,58.17,u SuS u S uSuS,10,1,58.17,u SuS u S uSuS,10,1,58.17,u SuS u S uSuS,10,1,58.17,u SuS u S uSuS,10,1,58.17,u SuS u S uSuS,10,1,58.17,u SuS u S uSuS,10,1,58.17,u SuS u S uSuS,10,1,58.17
"Of hir, Philologie, and him, Mercurie",Of hir Philologie and him Mercurie,u S uSuS x u SuSx,10,u S uSuS u S uSu,11,0,34.85,u S uSuS u S uSu,11,0,34.85,u S uSuS u S uSu,11,0,34.85,u S uSuS u S uSu,11,0,34.85,u S uSuS u S uSu,11,0,34.85,u S uSuS u S uSu,11,0,34.85,u S uSuS u S uSu,11,0,34.85,u S uSuS u S uSu,11,0,34.85,     ,0,0,0.00
For whether it be wel or be amis,For whether it be wel or be amis,u Su S u S u S uS,10,u Su S u S u S uS,10,1,61.91,u Su S u S u S uS,10,1,61.91,u Su S u S u S uS,10,1,63.16,u Su S u S u S uS,10,1,61.91,u Su S u S u S uS,10,1,61.91,u Su S u S u S uS,10,1,61.91,u Su S u S u S uS,10,1,61.91,u Su S u S u S uS,10,1,61.91,u Su S u S u S uS,10,1,61.91
Bifel that in that seson on a day,Bifel that in that seson on a day,uS u S u Su S u S,10,uS u S u Su S u S,10,1,62.18,uS u S u Su S u S,10,1,62.18,uS u S u Su S u S,10,1,62.18,uS u S u Su S u S,10,1,62.18,uS u S u Su S u S,10,1,62.18,uS u S u Su S u S,10,1,62.18,uS u S u Su S u S,10,1,62.18,uS u S u Su S u S,10,1,62.18,uS u S u Su S u S,10,1,62.18
"Flexippe, she, Tharbe, and Antigone",Flexippe she Tharbe and Antigone,uSu S u S uSuS,10,    ,0,0,0.00,    ,0,0,0.00,    ,0,0,0.00,    ,0,0,0.00,    ,0,0,0.00,    ,0,0,0.00,    ,0,0,0.00,    ,0,0,0.00,    ,0,0,0.00
"Til they him founde, and broughte him at the laste.",Til they him founde and broughte him at the laste,u S u Sx u Sx u S u Sx,10,u S u Sx u Sx u S u Sx,10,1,58.53,u S u Sx u Sx u S u Sx,10,1,58.53,u S u Sx u Sx u S u Sx,10,1,58.53,u S u Sx u Sx u S u Sx,10,1,58.53,u S u Sx u Sx u S u Sx,10,1,58.53,u S u Sx u Sx u S u Sx,10,1,58.53,u S u Sx u Sx u S u Sx,10,1,58.53,u S u Sx u Sx u S u Sx,10,1,58.53,u S u Sx u Sx u S u Sx,10,1,58.53
"Whan morwe com, gan make hir weimentinge",Whan morwe com gan make hir weimentinge,u Su S u Sx u SuSx,10,u Su S u Sx u SuSx,10,1,40.99,u Su S u Sx u SuSx,10,1,40.99,u Su S u Sx u SuSx,10,1,39.56,u Su S u Sx u SuSx,10,1,40.99,u Su S u Sx u SuSx,10,1,40.99,u Su S u Sx u SuSx,10,1,40.99,u Su S u Sx u SuSx,10,1,40.99,u Su S u Sx u SuSx,10,1,40.99,      ,0,0,0.00
Withoute braunche of vice in any wise,Withoute braunche of vice in any wise,uSu Sx u Sx u Su Sx,10,uSu Sx u Sx u Su Sx,10,1,66.67,uSu Sx u Sx u Su Sx,10,1,66.67,uSu Sx u Sx u Su Sx,10,1,66.67,uSu Sx u Sx u Su Sx,10,1,66.67,uSu Sx u Sx u Su Sx,10,1,66.67,uSu Sx u Sx u Su Sx,10,1,66.67,uSu Sx u Sx u Su Sx,10,1,66.67,uSu Sx u Sx u Su Sx,10,1,66.67,uSu Sx u Sx u Su Sx,10,1,66.67
"That, right anoon as cessed is hir lest",That right anoon as cessed is hir lest,u S uS u Su S u S,10,u S uS u Su S u S,10,1,54.18,u S uS u Su S u S,10,1,54.18,u S uS u Su S u S,10,1,54.18,u S uS u Su S u S,10,1,54.18,u S uS u Su S u S,10,1,54.18,u S uS u Su S u S,10,1,54.18,u S uS u Su S u S,10,1,54.18,u S uS u Su S u S,10,1,54.18,u S uS u Su S u S,10,1,54.18
At night was come into that hostelrie,At night was come into that hostelrie,u S u S uS u SuS,10,u S u Sx uS u SuS,10,1,71.94,u S u Sx uS u SuS,10,1,71.94,u S u Sx uS u SuS,10,1,73.37,u S u Sx uS u SuS,10,1,71.94,u S u Sx uS u SuS,10,1,71.94,u S u Sx uS u SuS,10,1,71.94,u S u Sx uS u SuS,10,1,71.94,u S u Sx uS u SuS,10,1,71.94,u S u Sx uS u SuS,10,1,71.94
"“Sire, al this shal be doon,” quod Pandarus;",Sire al this shal be doon quod Pandarus,ux S u S u S u SuS,10,ux S u S u S u SuS,10,1,65.07,ux S u S u S u SuS,10,1,65.07,ux S u S u S u SuS,10,1,66.32,ux S u S u S u SuS,10,1,65.07,ux S u S u S u SuS,10,1,65.07,ux S u S u S u SuS,10,1,65.07,ux S u S u S u SuS,10,1,65.07,ux S u S u S u SuS,10,1,65.07,ux S u S u S u SuS,10,1,65.07
"But as his suster, hoomly, sooth to seyne",But as his suster hoomly sooth to seyne,u S u Su Su S u Sx,10,u S u Su Su S u Sx,10,1,84.86,u S u Su Su S u Sx,10,1,84.86,u S u Su Su S u Sx,10,1,84.86,u S u Su Su S u Sx,10,1,84.86,u S u Su Su S u Sx,10,1,84.86,u S u Su Su S u Sx,10,1,84.86,u S u Su Su S u Sx,10,1,84.86,u S u Su Su S u Sx,10,1,84.86,u S u Su Su S u Sx,10,1,84.86
"Algates, hem that ye wol sette afire",Algates hem that ye wol sette afire,uSu S u S u Sx uSx,10,uSu S u S u Sx uSx,10,1,39.66,uSu S u S u Sx uSx,10,1,39.66,uSu S u S u Sx uSx,10,1,38.23,uSu S u S u Sx uSx,10,1,39.66,uSu S u S u Sx uSx,10,1,39.66,uSu S u S u Sx uSx,10,1,39.66,uSu S u S u Sx uSx,10,1,39.66,uSu S u S u Sx uSx,10,1,39.66,      ,0,0,0.00
"And thanked be ye, lord, for that I love!",And thanked be ye lord for that I love,u Su S u S u S u Sx,10,u Su S u S u S u Sx,10,1,63.48,u Su S u S u S u Sx,10,1,63.48,u Su S u S u S u Sx,10,1,62.37,u Su S u S u S u Sx,10,1,63.48,u Su S u S u S u Sx,10,1,63.48,u Su S u S u S u Sx,10,1,63.48,u Su S u S u S u Sx,10,1,63.48,u Su S u S u S u Sx,10,1,63.48,u Su S u S u S u Sx,10,1,63.48
"For hardely, the werste of this is do;",For hardely the werste of this is do,u SuS u Sx u S u S,10,u SuS u Sx u S u S,10,1,57.93,u SuS u Sx u S u S,10,1,57.93,u SuS u Sx u S u S,10,1,59.18,u SuS u Sx u S u S,10,1,57.93,u SuS u Sx u S u S,10,1,57.93,u SuS u Sx u S u S,10,1,57.93,u SuS u Sx u S u S,10,1,57.93,u SuS u Sx u S u S,10,1,57.93,u SuS u Sx u S u S,10,1,57.93
"She rist hir up, and went hir for to pleye.",She rist hir up and went hir for to pleye,u S u S u S u S u S,10,u S u S u S u S u S,10,1,70.90,u S u S u S u S u S,10,1,70.90,u S u S u S u S u S,10,1,71.90,u S u S u S u S u S,10,1,70.90,u S u S u S u S u S,10,1,70.90,u S u S u S u S u S,10,1,70.90,u S u S u S u S u S,10,1,70.90,u S u S u S u S u S,10,1,70.90,u S u S u S u S u S,10,1,70.90
"So that his lif be saved, at the leste:",So that his lif be saved at the leste,u S u S u Su S u Sx,10,u S u S u Su S u Sx,10,1,64.26,u S u S u Su S u Sx,10,1,64.26,u S u S u Su S u Sx,10,1,66.48,u S u S u Su S u Sx,10,1,64.26,u S u S u Su S u Sx,10,1,64.26,u S u S u Su S u Sx,10,1,64.26,u S u S u Su S u Sx,10,1,64.26,u S u S u Su S u Sx,10,1,64.26,u S u S u Su S u Sx,10,1,64.26
Why al this folk assembled in this place;,Why al this folk assembled in this place,u S u S uSu S u Sx,10,u S u S uSu S u Sx,10,1,67.45,u S u S uSu S u Sx,10,1,67.45,u S u S uSu S u Sx,10,1,67.45,u S u S uSu S u Sx,10,1,67.45,u S u S uSu S u Sx,10,1,67.45,u S u S uSu S u Sx,10,1,67.45,u S u S uSu S u Sx,10,1,67.45,u S u S uSu S u Sx,10,1,67.45,u S u S uSu S u Sx,10,1,67.45
Benigne he was and wonder diligent,Benigne he was and wonder diligent,uS u S u Su SuS,10,uSx u S u Su SuS,10,1,87.85,uSx u S u Su SuS,10,1,87.85,uSx u S u Su SuS,10,1,87.85,uSx u S u Su SuS,10,1,87.85,uSx u S u Su SuS,10,1,87.85,uSx u S u Su SuS,10,1,87.85,uSx u S u Su SuS,10,1,87.85,uSx u S u Su SuS,10,1,87.85,uSx u S u Su SuS,10,1,87.85
"“No? than wol I,” quod he, “so ye endite.”",No than wol I quod he so ye endite,u S u S u S u S uSx,10,u S u S u S u S uSx,10,1,51.48,u S u S u S u S uSx,10,1,51.48,u S u S u S u S uSx,10,1,50.37,u S u S u S u S uSx,10,1,51.48,u S u S u S u S uSx,10,1,51.48,u S u S u S u S uSx,10,1,51.48,u S u S u S u S uSx,10,1,51.48,u S u S u S u S uSx,10,1,51.48,u S u S u S u S uSx,10,1,51.48
"That Januarie bar° of the smale wiket,°",That Januarie bar of the smale wiket,u SuSx u S u Sx Su,10,u SuSu S u S ux Su,11,0,34.76,u SuSu S u S ux Su,11,0,34.76,u SuSu S u S ux Su,11,0,33.33,u SuSu S u S ux Su,11,0,34.76,u SuSu S u S ux Su,11,0,34.76,u SuSu S u S ux Su,11,0,34.76,u SuSu S u S ux Su,11,0,34.76,u SuSu S u S ux Su,11,0,34.76,      ,0,0,0.00
And if yow liketh al by oon assent,And if yow liketh al by oon assent,u S u Su S u S uS,10,u S u Su S u S uS,10,1,60.17,u S u Su S u S uS,10,1,60.17,u S u Su S u S uS,10,1,60.17,u S u Su S u S uS,10,1,60.17,u S u Su S u S uS,10,1,60.17,u S u Su S u S uS,10,1,60.17,u S u Su S u S uS,10,1,60.17,u S u Su S u S uS,10,1,60.17,u S u Su S u S uS,10,1,60.17
"As is a fermour,° to doon the harm he can.°",As is a fermour to doon the harm he can,u S u Su x S u S u S,10,u S u Su S u S u S u,11,0,33.37,u S u Su S u S u S u,11,0,33.37,u S u Su S u S u S u,11,0,31.37,u S u Su S u S u S u,11,0,33.37,u S u Su S u S u S u,11,0,33.37,u S u Su S u S u S u,11,0,33.37,u S u Su S u S u S u,11,0,33.37,u S u Su S u S u S u,11,0,33.37,         ,0,0,0.00
"And min honour, with wit and besinesse",And min honour with wit and besinesse,u S uS u S u SuSx,10,u S uS u S u SuSx,10,1,64.41,u S uS u S u SuSx,10,1,64.41,u S uS u S u SuSx,10,1,64.41,u S uS u S u SuSx,10,1,64.41,u S uS u S u SuSx,10,1,64.41,u S uS u S u SuSx,10,1,64.41,u S uS u S u SuSx,10,1,64.41,u S uS u S u SuSx,10,1,64.41,u S uS u S u SuSx,10,1,64.41
A Maunciple myself ther were namo,A Maunciple myself ther were namo,u SuS uS u S uS,10,S uSx uS u Sx uS,9,0,56.58,S uSx uS u Sx uS,9,0,56.58,S uSx uS u Sx uS,9,0,54.92,S uSx uS u Sx uS,9,0,56.58,S uSx uS u Sx uS,9,0,56.58,S uSx uS u Sx uS,9,0,56.58,S uSx uS u Sx uS,9,0,56.58,S uSx uS u Sx uS,9,0,56.58,S uSx uS u Sx uS,9,0,56.58
And shortly maked eche of hem his fo;,And shortly maked eche of hem his fo,u Su Su Sx u S u S,10,u Su Su Sx u S u S,10,1,80.73,u Su Su Sx u S u S,10,1,80.73,u Su Su Sx u S u S,10,1,81.98,u Su Su Sx u S u S,10,1,80.73,u Su Su Sx u S u S,10,1,80.73,u Su Su Sx u S u S,10,1,80.73,u Su Su Sx u S u S,10,1,80.73,u Su Su Sx u S u S,10,1,80.73,u Su Su Sx u S u S,10,1,80.73
Of him ye recche leest wher he bicome,Of him ye recche leest wher he bicome,u S u Su S u S uSx,10,u S u Su S u S uSx,10,1,43.47,u S u Su S u S uSx,10,1,43.47,u S u Su S u S uSx,10,1,42.22,u S u Su S u S uSx,10,1,43.47,u S u Su S u S uSx,10,1,43.47,u S u Su S u S uSx,10,1,43.47,u S u Su S u S uSx,10,1,43.47,u S u Su S u S uSx,10,1,43.47,       ,0,0,0.00
"¶But, Lord! the perrie° and the richesse",But Lord the perrie and the richesse,u S u Sx u S uS,8,u S u Su S u Sux,9,0,55.11,u S u Su S u Sux,9,0,55.11,u S u Su S u Sux,9,0,57.96,u S u Su S u Sux,9,0,55.11,u S u Su S u Sux,9,0,55.11,u S u Su S u Sux,9,0,55.11,u S u S u S uSx,8,1,53.90,u S u S u S uSx,8,1,53.90,u S u S u S uSx,8,1,53.90
"But I conjure thee, Criseyde, and oon",But I conjure thee Criseyde and oon,u S uSu S uSx u S,10,u S uSu S uSx u S,10,1,55.36,u S uSu S uSx u S,10,1,55.36,u S uSu S uSx u S,10,1,52.51,u S uSu S uSx u S,10,1,55.36,u S uSu S uSx u S,10,1,55.36,u S uSu S uSx u S,10,1,55.36,u S uSu S uSx u S,10,1,55.36,u S uSu S uSx u S,10,1,55.36,u S uSu S uSx u S,10,1,55.36
In sangwin and in pers he clad was al,In sangwin and in pers he clad was al,u Su S u S u S u S,10,u Su S u S u S u S,10,1,49.32,u Su S u S u S u S,10,1,49.32,u Su S u S u S u S,10,1,50.43,u Su S u S u S u S,10,1,49.32,u Su S u S u S u S,10,1,49.32,u Su S u S u S u S,10,1,49.32,u Su S u S u S u S,10,1,49.32,u Su S u S u S u S,10,1,49.32,u Su S u S u S u S,10,1,49.32
But God and Pandare wiste al what this mente.,But God and Pandare wiste al what this mente,u S u Sux Sx u S u Sx,10,u S u Sux Sx u S u Sx,10,1,57.80,u S u Sux Sx u S u Sx,10,1,57.80,u S u Sux Sx u S u Sx,10,1,56.69,u S u Sux Sx u S u Sx,10,1,57.80,u S u Sux Sx u S u Sx,10,1,57.80,u S u Sux Sx u S u Sx,10,1,57.80,u S u Sux Sx u S u Sx,10,1,57.80,u S u Sux Sx u S u Sx,10,1,57.80,u S u Sux Sx u S u Sx,10,1,57.80
That shal bitiden of necessitee.,That shal bitiden of necessitee,u S uSu S uSuS,10,u S uSu S uSuS,10,1,31.71,u S uSu S uSuS,10,1,31.71,u S uSu S uSuS,10,1,31.71,u S uSu S uSuS,10,1,31.71,u S uSu S uSuS,10,1,31.71,u S uSu S uSuS,10,1,31.71,u S uSu S uSuS,10,1,31.71,u S uSu S uSuS,10,1,31.71,    ,0,0,0.00
But he ne lafte nat for rein ne thonder,But he ne lafte nat for rein ne thonder,u S u S u S u S uS,10,u S u Su S u S u Sx,10,0,57.38,u S u Su S u S u Sx,10,0,57.38,u S u Su S u S u Sx,10,0,58.49,u S u Sx u S u S uS,10,1,34.02,u S u Sx u S u S uS,10,1,34.02,        ,0,0,0.00,        ,0,0,0.00,        ,0,0,0.00,        ,0,0,0.00
That he that most desireth yow to serve,That he that most desireth yow to serve,u S u S uSu S u Sx,10,u S u S uSu S u Sx,10,1,60.52,u S u S uSu S u Sx,10,1,60.52,u S u S uSu S u Sx,10,1,59.27,u S u S uSu S u Sx,10,1,60.52,u S u S uSu S u Sx,10,1,60.52,u S u S uSu S u Sx,10,1,60.52,u S u S uSu S u Sx,10,1,60.52,u S u S uSu S u Sx,10,1,60.52,u S u S uSu S u Sx,10,1,60.52
It is nat honeste it may nat avaunce,It is nat honeste it may nat avaunce,u S u Su S u S uS,10,u S u Sux S u S uSx,10,1,34.98,u S u Sux S u S uSx,10,1,34.98,u S u Sux S u S uSx,10,1,34.98,u S u Sux S u S uSx,10,1,34.98,u S u Sux S u S uSx,10,1,34.98,u S u Sux S u S uSx,10,1,34.98,u S u Sux S u S uSx,10,1,34.98,u S u Sux S u S uSx,10,1,34.98,       ,0,0,0.00
And sette a soper at a certein pris,And sette a soper at a certein pris,u S u Su S u Su S,10,u Sx u Su S u Su S,10,1,83.75,u Sx u Su S u Su S,10,1,83.75,u Sx u Su S u Su S,10,1,85.00,u Sx u Su S u Su S,10,1,83.75,u Sx u Su S u Su S,10,1,83.75,u Sx u Su S u Su S,10,1,83.75,u Sx u Su S u Su S,10,1,83.75,u Sx u Su S u Su S,10,1,83.75,u Sx u Su S u Su S,10,1,83.75
His bootes clasped faire and fetisly,His bootes clasped faire and fetisly,u Su Su S u SuS,10,u Su Su Sx u SuS,10,1,54.07,u Su Su Sx u SuS,10,1,54.07,u Su Su Sx u SuS,10,1,52.40,u Su Su Sx u SuS,10,1,54.07,u Su Su Sx u SuS,10,1,54.07,u Su Su Sx u SuS,10,1,54.07,u Su Su Sx u SuS,10,1,54.07,u Su Su Sx u SuS,10,1,54.07,u Su Su Sx u SuS,10,1,54.07
“For though the beste harpour upon live,For though the beste harpour upon live,u S u Su Su Su Sx,10,u S u Su Su Su Sx,10,1,55.19,u S u Su Su Su Sx,10,1,55.19,u S u Su Su Su Sx,10,1,58.05,u S u Su Su Su Sx,10,1,55.19,u S u Su Su Su Sx,10,1,55.19,u S u Su Su Su Sx,10,1,55.19,u S u Su Su Su Sx,10,1,55.19,u S u Su Su Su Sx,10,1,55.19,u S u Su Su Su Sx,10,1,55.19
A baggepipe wel coude he blowe and sowne,A baggepipe wel coude he blowe and sowne,u SuS u S u S u S,10,u SuSx u Sx u Sx u Sx,10,1,56.24,u SuSx u Sx u Sx u Sx,10,1,56.24,u SuSx u Sx u Sx u Sx,10,1,57.49,u SuSx u Sx u Sx u Sx,10,1,56.24,u SuSx u Sx u Sx u Sx,10,1,56.24,u SuSx u Sx u Sx u Sx,10,1,56.24,u SuSx u Sx u Sx u Sx,10,1,56.24,u SuSx u Sx u Sx u Sx,10,1,56.24,u SuSx u Sx u Sx u Sx,10,1,56.24
Ne maked him a spiced conscience,Ne maked him a spiced conscience,u Su S u Su SuS,10,u Su S u Su SuSx,10,1,69.66,u Su S u Su SuSx,10,1,69.66,u Su S u Su SuSx,10,1,71.33,u Su S u Su SuSx,10,1,69.66,u Su S u Su SuSx,10,1,69.66,u Su S u Su SuSx,10,1,69.66,u Su S u Su SuSx,10,1,69.66,u Su S u Su SuSx,10,1,69.66,u Su S u Su SuSx,10,1,69.66
"Abideth yow, and eek my lordes tweine.",Abideth yow and eek my lordes tweine,uSu S u S u Su Sx,10,uSu S u S u Su Sx,10,1,65.72,uSu S u S u Su Sx,10,1,65.72,uSu S u S u Su Sx,10,1,65.72,uSu S u S u Su Sx,10,1,65.72,uSu S u S u Su Sx,10,1,65.72,uSu S u S u Su Sx,10,1,65.72,uSu S u S u Su Sx,10,1,65.72,uSu S u S u Su Sx,10,1,65.72,uSu S u S u Su Sx,10,1,65.72
"And, as hem oughte, arisen everychoon",And as hem oughte arisen everychoon,u S u Sx uSu SxuS,10,u S u Sx uSu SxuS,10,1,43.41,u S u Sx uSu SxuS,10,1,43.41,u S u Sx uSu SxuS,10,1,45.08,u S u Sx uSu SxuS,10,1,43.41,u S u Sx uSu SxuS,10,1,43.41,u S u Sx uSu SxuS,10,1,43.41,u S u Sx uSu SxuS,10,1,43.41,u S u Sx uSu SxuS,10,1,43.41,     ,0,0,0.00
This fierse Arcite hath of his helm ydon,This fierse Arcite hath of his helm ydon,u Sx uSx u S u S uS,10,u Sux Sux S u S u Su,11,0,36.64,u Sux Sux S u S u Su,11,0,36.64,u Sux Sux S u S u Su,11,0,36.64,u Sux Sux S u S u Su,11,0,36.64,u Sux Sux S u S u Su,11,0,36.64,u Sux Sux S u S u Su,11,0,36.64,u Sux Sux S u S u Su,11,0,36.64,u Sux Sux S u S u Su,11,0,36.64,       ,0,0,0.00
"Of Rome, for hir° horrible doinges,°",Of Rome for hir horrible doinges,u Su S u SuS uS,10,     ,0,0,0.00,     ,0,0,0.00,     ,0,0,0.00,     ,0,0,0.00,     ,0,0,0.00,     ,0,0,0.00,     ,0,0,0.00,     ,0,0,0.00,     ,0,0,0.00
"And rominge outward, fast it gan biholde",And rominge outward fast it gan biholde,u Sux Su S u S uSx,10,u Sux Su S u S uSx,10,1,45.79,u Sux Su S u S uSx,10,1,45.79,u Sux Su S u S uSx,10,1,47.21,u Sux Su S u S uSx,10,1,45.79,u Sux Su S u S uSx,10,1,45.79,u Sux Su S u S uSx,10,1,45.79,u Sux Su S u S uSx,10,1,45.79,u Sux Su S u S uSx,10,1,45.79,u Sux Su S u S uSx,10,1,45.79
