OG_OXFORD_TEXT,OXFORD_TEXT,GREEN_SCANSION,GREEN_SYLLABLES,V1_SCANSION,V1_SYLLABLES,V1_MATCHES_GREEN,V1_CONFIDENCE,V2_SCANSION,V2_SYLLABLES,V2_MATCHES_GREEN,V2_CONFIDENCE,V3_SCANSION,V3_SYLLABLES,V3_MATCHES_GREEN,V3_CONFIDENCE,V4_SCANSION,V4_SYLLABLES,V4_MATCHES_GREEN,V4_CONFIDENCE,V5_SCANSION,V5_SYLLABLES,V5_MATCHES_GREEN,V5_CONFIDENCE,V6_SCANSION,V6_SYLLABLES,V6_MATCHES_GREEN,V6_CONFIDENCE,V7_SCANSION,V7_SYLLABLES,V7_MATCHES_GREEN,V7_CONFIDENCE,V8_SCANSION,V8_SYLLABLES,V8_MATCHES_GREEN,V8_CONFIDENCE,V9_SCANSION,V9_SYLLABLES,V9_MATCHES_GREEN,V9_CONFIDENCE
Beblotte it with thy teres eek a lite;,Beblotte it with thy teres eek a lite,uSx u S u Su S u Sx,10,uSx u S u Su S u Sx,10,1,68.99,uSx u S u Su S u Sx,10,1,68.99,uSx u S u Su S u Sx,10,1,68.99,uSx u S u Su S u Sx,10,1,68.99,uSx u S u Su S u Sx,10,1,68.99,uSx u S u Su S u Sx,10,1,68.99,uSx u S u Su S u Sx,10,1,68.99,uSx u S u Su S u Sx,10,1,68.99,uSx u S u Su S u Sx,10,1,68.99
"With that they gonnen laughe, and tho she seide",With that they gonnen laughe and tho she seide,u S u Su Sx u S u Sx,10,u S u Su Sx u S u Sx,10,1,68.63,u S u Su Sx u S u Sx,10,1,68.63,u S u Su Sx u S u Sx,10,1,69.74,u S u Su Sx u S u Sx,10,1,68.63,u S u Su Sx u S u Sx,10,1,68.63,u S u Su Sx u S u Sx,10,1,68.63,u S u Su Sx u S u Sx,10,1,68.63,u S u Su Sx u S u Sx,10,1,68.63,u S u Su Sx u S u Sx,10,1,68.63
The more noble and riche in his degree,The more noble and riche in his degree,u Su Sx u Sx u S uS,10,u Su Su S ux S u Su,11,0,43.91,u Su Su S ux S u Su,11,0,43.91,u Su Su S ux S u Su,11,0,47.66,u Su Su S ux S u Su,11,0,43.91,u Su Su S ux S u Su,11,0,43.91,u Su Su S ux S u Su,11,0,43.91,       ,0,0,0.00,u Sx uS u Sx u S uS,10,0,62.99,u Sx uS u Sx u S uS,10,0,62.99
"And that ye witen wel yourself, I leve.”",And that ye witen wel yourself I leve,u S u Su S uS u Sx,10,u S u Su S uS u Sx,10,1,64.77,u S u Su S uS u Sx,10,1,64.77,u S u Su S uS u Sx,10,1,64.77,u S u Su S uS u Sx,10,1,64.77,u S u Su S uS u Sx,10,1,64.77,u S u Su S uS u Sx,10,1,64.77,u S u Su S uS u Sx,10,1,64.77,u S u Su S uS u Sx,10,1,64.77,u S u Su S uS u Sx,10,1,64.77
For there he was nat lik a cloisterer,For there he was nat lik a cloisterer,u S u S u S u SuS,10,u Sx u S u S u SuS,10,1,65.80,u Sx u S u S u SuS,10,1,65.80,u Sx u S u S u SuS,10,1,65.80,u Sx u S u S u SuS,10,1,65.80,u Sx u S u S u SuS,10,1,65.80,u Sx u S u S u SuS,10,1,65.80,u Sx u S u S u SuS,10,1,65.80,u Sx u S u S u SuS,10,1,65.80,u Sx u S u S u SuS,10,1,65.80
For his science and for his heigh renoun,For his science and for his heigh renoun,u S uS u S u S uS,10,u S uSx u S u S uS,10,1,61.36,u S uSx u S u S uS,10,1,61.36,u S uSx u S u S uS,10,1,61.36,u S uSx u S u S uS,10,1,61.36,u S uSx u S u S uS,10,1,61.36,u S uSx u S u S uS,10,1,61.36,u S uSx u S u S uS,10,1,61.36,u S uSx u S u S uS,10,1,61.36,u S uSx u S u S uS,10,1,61.36
He wolde techen him to have noon awe,He wolde techen him to have noon awe,u Su Su S u S u S,10,u Su Su S u Sx u Sx,10,1,50.58,u Su Su S u Sx u Sx,10,1,50.58,u Su Su S u Sx u Sx,10,1,51.83,u Su Su S u Sx u Sx,10,1,50.58,u Su Su S u Sx u Sx,10,1,50.58,u Su Su S u Sx u Sx,10,1,50.58,u Su Su S u Sx u Sx,10,1,50.58,u Su Su S u Sx u Sx,10,1,50.58,u Su Su S u Sx u Sx,10,1,50.58
Lepe thou upon a courser right anoon,Lepe thou upon a courser right anoon,ux S uS u Su S uS,10,ux S uS u Su S uS,10,1,51.57,ux S uS u Su S uS,10,1,51.57,ux S uS u Su S uS,10,1,51.57,ux S uS u Su S uS,10,1,51.57,ux S uS u Su S uS,10,1,51.57,ux S uS u Su S uS,10,1,51.57,ux S uS u Su S uS,10,1,51.57,ux S uS u Su S uS,10,1,51.57,ux S uS u Su S uS,10,1,51.57
What sholde I lenger sermon of it holde?,What sholde I lenger sermon of it holde,u Sx u Su Su S u Sx,10,u Sx u Su Su S u Sx,10,1,60.17,u Sx u Su Su S u Sx,10,1,60.17,u Sx u Su Su S u Sx,10,1,61.42,u Sx u Su Su S u Sx,10,1,60.17,u Sx u Su Su S u Sx,10,1,60.17,u Sx u Su Su S u Sx,10,1,60.17,u Sx u Su Su S u Sx,10,1,60.17,u Sx u Su Su S u Sx,10,1,60.17,u Sx u Su Su S u Sx,10,1,60.17
"Towardes hir, but holden him in honde",Towardes hir but holden him in honde,uSu S u Su S u Sx,10,uSu S u Su S u Sx,10,1,56.93,uSu S u Su S u Sx,10,1,56.93,uSu S u Su S u Sx,10,1,56.93,uSu S u Su S u Sx,10,1,56.93,uSu S u Su S u Sx,10,1,56.93,uSu S u Su S u Sx,10,1,56.93,uSu S u Su S u Sx,10,1,56.93,uSu S u Su S u Sx,10,1,56.93,uSu S u Su S u Sx,10,1,56.93
