Source_File,Headword,Tag,Ending,Count,Percent
TC4_gui_complete.csv,sen,v%pr_1,-e,5,100.00%
TC4_gui_complete.csv,sen,v%pr_pl,-en,1,100.00%
TC4_gui_complete.csv,liken,v%pr_3,-e,1,50.00%
TC4_gui_complete.csv,liken,v%pr_3,-eth,1,50.00%
TC4_gui_complete.csv,durren,v%pr_1,other,2,100.00%
TC4_gui_complete.csv,durren,v%pr_3,other,2,100.00%
TC4_gui_complete.csv,durren,v%pt_pl,-te,1,100.00%
TC4_gui_complete.csv,turnen,v%inf,-e,1,100.00%
TC4_gui_complete.csv,paien,v%inf,-en,1,100.00%
TC4_gui_complete.csv,rennen,v%pt_pl,-en,1,100.00%
TC4_gui_complete.csv,rennen,v%pr_2,-est,1,100.00%
TC4_gui_complete.csv,helen,v%inf,-e,1,100.00%
TC4_gui_complete.csv,helen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,leten,v%pt_3,-et,1,100.00%
TC4_gui_complete.csv,leten,v%imp,-t,13,100.00%
TC4_gui_complete.csv,leten,v%pr_3,-t,1,100.00%
TC4_gui_complete.csv,leten,v%pt_pl,-en,1,100.00%
TC4_gui_complete.csv,rehersen,v%inf,-en,1,100.00%
TC4_gui_complete.csv,answeren,v%ppl,-d,1,100.00%
TC4_gui_complete.csv,answeren,v%pt_3,-de,6,100.00%
TC4_gui_complete.csv,asken,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,asken,v%pt_3,-ed,1,100.00%
TC4_gui_complete.csv,abiden,v%pt_3,-d,1,100.00%
TC4_gui_complete.csv,thinken,v%pt_3,-te,3,75.00%
TC4_gui_complete.csv,thinken,v%pt_3,-t,1,25.00%
TC4_gui_complete.csv,thinken,v%imp,other,6,85.71%
TC4_gui_complete.csv,thinken,v%imp,-eth,1,14.29%
TC4_gui_complete.csv,thinken,v%pr_3,-eth,5,100.00%
TC4_gui_complete.csv,thinken,v%pt_1,-t,1,100.00%
TC4_gui_complete.csv,thinken,v%ppl,-t,1,100.00%
TC4_gui_complete.csv,thinken,v%pr_2_pron,other,2,100.00%
TC4_gui_complete.csv,mouen,v%pt_3,-te,11,100.00%
TC4_gui_complete.csv,mouen,v%pr_3,other,28,100.00%
TC4_gui_complete.csv,mouen,v%pr_pl,other,16,94.12%
TC4_gui_complete.csv,mouen,v%pr_pl,-e,1,5.88%
TC4_gui_complete.csv,mouen,v%pt_2_pron,other,1,100.00%
TC4_gui_complete.csv,mouen,v%pr_1,other,8,100.00%
TC4_gui_complete.csv,mouen,v%pr_2_pron,other,1,100.00%
TC4_gui_complete.csv,mouen,v%pr_2,-t,3,100.00%
TC4_gui_complete.csv,mouen,v%pt_pl,-en,1,100.00%
TC4_gui_complete.csv,dien,v%inf,-en,3,100.00%
TC4_gui_complete.csv,deliberen,v%inf,-en,1,100.00%
TC4_gui_complete.csv,deliberen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,graunten,v%inf,-te,1,100.00%
TC4_gui_complete.csv,graunten,v%ppl,-ed,2,100.00%
TC4_gui_complete.csv,usen,v%pt_pl,-en,1,100.00%
TC4_gui_complete.csv,usen,v%pr_pl,-en,1,100.00%
TC4_gui_complete.csv,sterten,v%pt_3,-te,1,100.00%
TC4_gui_complete.csv,quethen,v%pt_pl,-d,2,100.00%
TC4_gui_complete.csv,quethen,v%pt_3,-d,21,100.00%
TC4_gui_complete.csv,forgon,v%inf,-n,4,100.00%
TC4_gui_complete.csv,forgon,v%pr_1,vowel,1,100.00%
TC4_gui_complete.csv,forgon,v%pr_3,other,1,100.00%
TC4_gui_complete.csv,witen,v%pr_pl,-en,1,25.00%
TC4_gui_complete.csv,witen,v%pr_pl,-t,3,75.00%
TC4_gui_complete.csv,witen,v%pt_3_neg,-te,3,100.00%
TC4_gui_complete.csv,witen,v%pr_2,-t,2,100.00%
TC4_gui_complete.csv,witen,v%pr_3,-t,3,100.00%
TC4_gui_complete.csv,witen,v%pr_2_neg,-t,2,100.00%
TC4_gui_complete.csv,witen,v%pr_1_neg,-t,2,100.00%
TC4_gui_complete.csv,witen,v%pt_3,-te,1,100.00%
TC4_gui_complete.csv,witen,v%ppl,-t,4,100.00%
TC4_gui_complete.csv,witen,v%pr_1,-t,3,100.00%
TC4_gui_complete.csv,witen,v%pt_pl,-te,1,100.00%
TC4_gui_complete.csv,witen,v%pt_1,-te,1,100.00%
