headword,classification,notes,evidence,total_occurrences
maimen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
maintenen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%pr_3(-e:2),6
manacen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_3(-eth:2),4
martiren,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
masen,weak,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:6); v%ppl(-ed:2); v%pr_pl(-e:4),12
menden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_pl(-e:2),4
mesuren,unknown,"classified by morphological evidence on January 27, 2026",v%pt_3(-ed:2),2
meuen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
meven,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:6); v%ppl(-ed:4); v%pr_3(-eth:10); v%pt_3(-ed:2),22
minen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6),6
misavisen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-e:2),2
misbileven,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:2); v#adj%ppl_n(-ed:2),4
miscarien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
misconceiven,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
misconstruen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
misdemen,unknown,"classified by morphological evidence on January 27, 2026","v%pr_3(-eth:2, -e:2); v%pr_pl(-en:2)",6
misfallen,weak,"classified by morphological evidence on January 27, 2026",v%pt_3(-e:2),2
misgien,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
misgon,unknown,"classified by morphological evidence on January 27, 2026","v%ppl(other:4, vowel:2)",6
misleden,unknown,"classified by morphological evidence on January 27, 2026",v%pt_pl(-en:2),2
mislien,strong,"classified by morphological evidence on January 27, 2026",v%pt_3(other:2),2
misliken,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
misliven,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:2),2
mismetren,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-e:2),2
missitten,weak,"classified by morphological evidence on January 27, 2026","v%pt_3(-e:1, -t:1)",2
mistaken,strong,"classified by morphological evidence on January 27, 2026",v%ppl(-e:2),2
miswenden,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-t:2),2
miswriten,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-e:2),2
mocchen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
modifien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
mokeren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
mornen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_1(-e:2); v%pr_3(-eth:4); v%pr_pl(-e:2),10
mortifien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
moteren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
