headword,classification,notes,evidence,total_occurrences
festen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:8); v%pr_3(-eth:2); v%pr_pl(-en:1, -e:1); v%prp_abs(-e:2)",14
filen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%ppl_abs(-ed:2),4
finen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:10),10
firen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
fixen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl(other:2),2
flemen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2); v%pr_3(-eth:2),4
fleten,strong,"classified by morphological evidence on January 27, 2026","v%inf(-e:2); v%pr_1(-e:4); v%pr_3(-e:2, -eth:2); v%pr_pl(-e:2); v%prp(-e:1, other:1); v%prp_abs(-e:5, other:1); v%pt_3(-et:2)",22
flitten,weak,"classified by morphological evidence on January 27, 2026",v#adj%prp(-e:2); v%ppl(-ed:2),4
flouen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
flouten,unknown,"classified by morphological evidence on January 27, 2026",v%prp_abs(-e:2),2
fnesen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
fnorten,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:4),4
