Headword,Tag,Ending,Count,Percent
labouren,v%pr_3,-eth,1,100.00%
labouren,v%pt_1,-ed,1,100.00%
resten,v%inf,-en,1,100.00%
resten,v%ppl,-ed,1,100.00%
resten,v%pr_3,-eth,1,100.00%
resten,v%pt_3,-ed,1,100.00%
laughen,v%pt_3,other,4,100.00%
laughen,v%pr_1,-e,1,100.00%
laughen,v%inf,-en,2,100.00%
laughen,v%pr_3,-eth,1,100.00%
ginnen,v%pt_3,-n,368,100.00%
ginnen,v%pr_3,-eth,6,100.00%
ginnen,v%pt_pl,-en,9,25.71%
ginnen,v%pt_pl,-e,23,65.71%
ginnen,v%pt_pl,-n,3,8.57%
ginnen,v%pr_pl,-e,2,40.00%
ginnen,v%pr_pl,-en,3,60.00%
ginnen,v%pt_1,-n,19,100.00%
ginnen,v%pr_1,-e,1,100.00%
stonden,v%pr_3,-t,18,69.23%
stonden,v%pr_3,-eth,8,30.77%
stonden,v%pr_2,-est,2,100.00%
stonden,v%inf,-de,4,36.36%
stonden,v%inf,-en,6,54.55%
stonden,v%inf,-d,1,9.09%
stonden,v%pt_3,-d,36,100.00%
stonden,v%imp,-eth,1,16.67%
stonden,v%imp,-d,5,83.33%
stonden,v%pt_pl,-d,1,25.00%
stonden,v%pt_pl,-en,3,75.00%
stonden,v%pt_1,-d,1,100.00%
stonden,v%pr_1,-de,1,100.00%
stonden,v%pr_pl,-en,1,100.00%
beren,v%ppl,-n,17,89.47%
beren,v%ppl,-e,2,10.53%
beren,v%pt_3,other,23,100.00%
beren,v%inf,-e,15,93.75%
beren,v%inf,-en,1,6.25%
beren,v%pr_3,-eth,8,80.00%
beren,v%pr_3,other,2,20.00%
beren,v%pt_1,other,1,100.00%
beren,v1#adj%ppl,-n,1,50.00%
beren,v1#adj%ppl,-e,1,50.00%
beren,v%pr_pl,-e,2,100.00%
beren,v%imp,other,4,100.00%
beren,v%ppl_abs,-n,1,100.00%
beren,v%pr_1,-e,3,100.00%
tellen,v%inf,other,13,9.92%
tellen,v%inf,-en,45,34.35%
tellen,v%inf,-e,72,54.96%
tellen,v%inf,-t,1,0.76%
tellen,v%imp,-eth,15,20.27%
tellen,v%imp,other,56,75.68%
tellen,v%imp,-e,3,4.05%
tellen,v%pt_pl,-en,1,50.00%
tellen,v%pt_pl,-de,1,50.00%
tellen,v%ppl,-d,30,100.00%
tellen,v%pt_3,-de,14,93.33%
tellen,v%pt_3,-d,1,6.67%
tellen,v%pr_pl,-en,7,87.50%
tellen,v%pr_pl,-e,1,12.50%
tellen,v%pr_3,-eth,6,100.00%
tellen,v%pt_1,-de,7,77.78%
tellen,v%pt_1,-d,2,22.22%
tellen,v%pr_1,-e,5,45.45%
tellen,v%pr_1,other,6,54.55%
tellen,v%pr_2,other,1,50.00%
tellen,v%pr_2,-e,1,50.00%
tellen,v%ppl_abs,-d,1,100.00%
fordon,v%pr_3,vowel,1,100.00%
fordon,v%pt_3,-de,1,100.00%
fordon,v%inf,-n,2,66.67%
fordon,v%inf,vowel,1,33.33%
sufferen,v%ppl,-ed,6,100.00%
sufferen,v%pr_2,-est,4,100.00%
sufferen,v%inf,-e,5,62.50%
sufferen,v%inf,-en,3,37.50%
sufferen,v%pt_1,-ed,2,100.00%
